! o/p-H2 - ortho/para ratio of molecular hydrogen;
! o_hcoll - ortho-H2 formation rate due to collisions with H atoms, para-H2 rate = -ortho-H2 rate, [cm-3 s-1]
! h2_gr - H2 formation rate on grains, [cm-3 s-1]
! h2_gas - H2 formation rate due to gas-phase chemistry, [cm-3 s-1]
! h2_h_diss - H2 dissociation rate in H2-H collisions, [cm-3 s-1]
!   0             1             2             3             4             5             6             7             
! depth(cm)       o/p-H2        o_hcoll       h2_gr         oh2_gr        h2_gas        oh2_gas       h2_h_diss     
1.3450782492e+14  1.00000e+00   7.77680e-37   3.10489e-13   0.00000e+00   1.56691e-13   0.00000e+00   -9.46317e-35  
6.5321168632e+14  1.00000e+00   2.09120e-37   3.10489e-13   0.00000e+00   1.56692e-13   0.00000e+00   -9.46316e-35  
2.5655643316e+15  1.00000e+00   3.34710e-37   3.10491e-13   0.00000e+00   1.56694e-13   0.00000e+00   -9.46313e-35  
8.0027134175e+15  1.00000e+00   -1.28883e-37  3.10500e-13   0.00000e+00   1.56694e-13   0.00000e+00   -9.46307e-35  
2.1167455917e+16  1.00000e+00   -1.52485e-37  3.10529e-13   0.00000e+00   1.56696e-13   0.00000e+00   -9.46292e-35  
4.7530034065e+16  1.00000e+00   1.36633e-34   3.10500e-13   0.00000e+00   1.56726e-13   0.00000e+00   -9.46310e-35  
7.8746629745e+16  1.00000e+00   5.14415e-39   3.08531e-13   0.00000e+00   1.57930e-13   0.00000e+00   -9.47624e-35  
9.4471785946e+16  1.00000e+00   -1.83934e-42  3.23505e-13   0.00000e+00   1.63892e-13   0.00000e+00   -9.55594e-35  
1.0234018423e+17  1.00000e+00   -5.28003e-32  3.53148e-13   0.00000e+00   1.71306e-13   0.00000e+00   -9.79608e-35  
1.0631228612e+17  1.00000e+00   -1.74618e-30  3.38392e-13   0.00000e+00   1.77308e-13   0.00000e+00   -1.02571e-34  
1.0831749986e+17  1.00000e+00   -9.35309e-30  3.00881e-13   0.00000e+00   1.81316e-13   0.00000e+00   -1.08158e-34  
1.0934188894e+17  1.00000e+00   5.97211e-29   2.71995e-13   0.00000e+00   1.82618e-13   0.00000e+00   -1.12962e-34  
1.0985455562e+17  1.00000e+00   -7.54398e-29  2.55388e-13   0.00000e+00   1.83141e-13   0.00000e+00   -1.16171e-34  
1.1015135396e+17  1.00000e+00   8.25297e-29   2.45254e-13   0.00000e+00   1.83443e-13   0.00000e+00   -1.18353e-34  
1.1048386861e+17  1.00000e+00   4.49911e-28   2.33498e-13   0.00000e+00   1.83825e-13   0.00000e+00   -1.21138e-34  
1.1067298168e+17  1.00000e+00   1.98143e-29   2.26662e-13   0.00000e+00   1.84095e-13   0.00000e+00   -1.22903e-34  
1.1088733481e+17  1.00000e+00   5.55943e-29   2.18791e-13   0.00000e+00   1.84492e-13   0.00000e+00   -1.25083e-34  
1.1113154327e+17  1.00000e+00   7.85726e-28   2.09703e-13   0.00000e+00   1.85156e-13   0.00000e+00   -1.27827e-34  
1.1139786822e+17  1.00000e+00   3.01090e-28   1.99722e-13   0.00000e+00   1.86354e-13   0.00000e+00   -1.31174e-34  
1.1166931015e+17  1.00000e+00   -6.65310e-28  1.89512e-13   0.00000e+00   1.88473e-13   0.00000e+00   -1.35024e-34  
1.1194376894e+17  1.00000e+00   6.92149e-28   1.79155e-13   0.00000e+00   1.92090e-13   0.00000e+00   -1.39434e-34  
1.1222115031e+17  1.00000e+00   -8.35209e-28  1.68721e-13   0.00000e+00   1.97991e-13   0.00000e+00   -1.44502e-34  
1.1250165383e+17  1.00000e+00   -4.26406e-28  1.58278e-13   0.00000e+00   2.06720e-13   0.00000e+00   -1.50341e-34  
1.1264687153e+17  1.00000e+00   -5.28828e-28  1.52927e-13   0.00000e+00   2.12172e-13   0.00000e+00   -1.53681e-34  
1.1281244208e+17  1.00000e+00   1.71765e-27   1.46889e-13   0.00000e+00   2.18724e-13   0.00000e+00   -1.57779e-34  
1.1298146668e+17  1.00000e+00   3.49107e-27   1.40804e-13   0.00000e+00   2.25123e-13   0.00000e+00   -1.62304e-34  
1.1316318070e+17  1.00000e+00   8.13782e-27   1.34377e-13   0.00000e+00   2.31067e-13   0.00000e+00   -1.67589e-34  
1.1334868909e+17  1.00000e+00   1.88339e-26   1.27956e-13   0.00000e+00   2.35430e-13   0.00000e+00   -1.73466e-34  
1.1353688858e+17  1.00000e+00   5.09202e-26   1.21607e-13   0.00000e+00   2.37713e-13   0.00000e+00   -1.79971e-34  
1.1372817968e+17  1.00000e+00   1.34634e-25   1.15338e-13   0.00000e+00   2.38369e-13   0.00000e+00   -1.87186e-34  
1.1393807754e+17  1.00000e+00   3.78521e-25   1.09600e-13   0.00000e+00   2.38148e-13   0.00000e+00   -1.95864e-34  
1.1416296728e+17  1.00000e+00   1.15972e-24   1.01728e-13   0.00000e+00   2.37716e-13   0.00000e+00   -2.06108e-34  
1.1439113818e+17  1.00000e+00   3.68195e-24   9.50280e-14   0.00000e+00   2.37470e-13   0.00000e+00   -2.17567e-34  
1.1462560979e+17  1.00000e+00   1.18327e-23   8.84760e-14   0.00000e+00   2.37512e-13   0.00000e+00   -2.30508e-34  
1.1486183897e+17  1.00000e+00   3.74940e-23   8.22146e-14   0.00000e+00   2.37830e-13   0.00000e+00   -2.44715e-34  
1.1498621270e+17  1.00000e+00   6.80808e-23   7.90757e-14   0.00000e+00   2.38080e-13   0.00000e+00   -2.52631e-34  
1.1511157686e+17  1.00000e+00   1.23290e-22   7.60186e-14   0.00000e+00   2.38370e-13   0.00000e+00   -2.60876e-34  
1.1524545156e+17  1.00000e+00   2.29227e-22   7.28702e-14   0.00000e+00   2.38718e-13   0.00000e+00   -2.69911e-34  
1.1538317523e+17  1.00000e+00   4.26999e-22   6.97548e-14   0.00000e+00   2.39127e-13   0.00000e+00   -2.79355e-34  
1.1553033588e+17  1.00000e+00   8.13881e-22   6.65763e-14   0.00000e+00   2.39648e-13   0.00000e+00   -2.89444e-34  
1.1568256870e+17  1.00000e+00   1.54029e-21   6.34512e-14   0.00000e+00   2.40316e-13   0.00000e+00   -2.99592e-34  
1.1584360630e+17  1.00000e+00   2.93096e-21   6.03188e-14   0.00000e+00   2.41204e-13   0.00000e+00   -3.09553e-34  
1.1600715557e+17  1.00000e+00   5.39130e-21   5.73197e-14   0.00000e+00   2.42339e-13   0.00000e+00   -3.18148e-34  
1.1617194785e+17  1.00000e+00   9.53173e-21   5.44878e-14   0.00000e+00   2.43752e-13   0.00000e+00   -3.24204e-34  
1.1633675434e+17  1.00000e+00   1.60768e-20   5.18358e-14   0.00000e+00   2.45463e-13   0.00000e+00   -3.26153e-34  
1.1650674905e+17  1.00000e+00   2.63148e-20   4.92878e-14   0.00000e+00   2.47565e-13   0.00000e+00   -3.21642e-34  
1.1668300261e+17  1.00000e+00   4.17608e-20   4.68164e-14   0.00000e+00   2.50269e-13   0.00000e+00   -3.06616e-34  
1.1685963373e+17  1.00000e+00   6.32047e-20   4.45670e-14   0.00000e+00   2.53389e-13   0.00000e+00   -2.76229e-34  
1.1704026615e+17  1.00000e+00   9.22454e-20   4.24660e-14   0.00000e+00   2.56981e-13   0.00000e+00   -2.22687e-34  
1.1722453222e+17  1.00000e+00   1.29073e-19   4.05291e-14   0.00000e+00   2.61100e-13   0.00000e+00   -1.35931e-34  
1.1741474558e+17  1.00000e+00   2.09154e-19   3.87334e-14   0.00000e+00   2.65849e-13   0.00000e+00   -1.74761e-36  
1.1751069534e+17  1.00000e+00   1.50287e-16   3.79114e-14   0.00000e+00   2.68435e-13   0.00000e+00   8.59068e-35   
1.1760758155e+17  1.00000e+00   3.97956e-16   3.71339e-14   0.00000e+00   2.71174e-13   0.00000e+00   1.85791e-34   
1.1770490800e+17  1.00000e+00   7.59311e-16   3.64077e-14   0.00000e+00   2.74052e-13   0.00000e+00   2.93365e-34   
1.1780623479e+17  1.00000e+00   1.26929e-15   3.57103e-14   0.00000e+00   2.77177e-13   0.00000e+00   4.07028e-34   
1.1791226807e+17  1.00000e+00   1.95740e-15   3.50445e-14   0.00000e+00   2.80591e-13   0.00000e+00   5.19577e-34   
1.1802141984e+17  1.00000e+00   2.82835e-15   3.44316e-14   0.00000e+00   2.84249e-13   0.00000e+00   6.18420e-34   
1.1813383085e+17  1.00000e+00   3.87569e-15   3.38757e-14   0.00000e+00   2.88156e-13   0.00000e+00   6.90423e-34   
1.1824981296e+17  1.00000e+00   5.06335e-15   3.33801e-14   0.00000e+00   2.92328e-13   0.00000e+00   7.20987e-34   
1.1836770669e+17  1.00000e+00   6.28003e-15   3.29512e-14   0.00000e+00   2.96694e-13   0.00000e+00   6.96077e-34   
1.1848845991e+17  1.00000e+00   7.35776e-15   3.25949e-14   0.00000e+00   3.01273e-13   0.00000e+00   6.05814e-34   
1.1861375607e+17  1.00000e+00   7.98857e-15   3.23124e-14   0.00000e+00   3.06131e-13   0.00000e+00   4.44737e-34   
1.1873993234e+17  1.00000e+00   7.62965e-15   3.21164e-14   0.00000e+00   3.11128e-13   0.00000e+00   2.28785e-34   
1.1886731831e+17  1.00000e+00   5.49603e-15   3.20124e-14   0.00000e+00   3.16257e-13   0.00000e+00   -7.20467e-36  
1.1899785039e+17  1.00000e+00   2.33887e-15   3.19971e-14   0.00000e+00   3.21598e-13   0.00000e+00   -1.89808e-34  
1.1913273392e+17  1.00000e+00   5.31291e-15   3.20809e-14   0.00000e+00   3.27242e-13   0.00000e+00   -1.88748e-34  
1.1927341368e+17  1.00000e+00   3.71452e-14   3.22741e-14   0.00000e+00   3.33389e-13   0.00000e+00   8.78231e-35   
1.1941921494e+17  1.00000e+00   1.44037e-13   3.25767e-14   0.00000e+00   3.40215e-13   0.00000e+00   5.70515e-34   
1.1956749936e+17  1.00000e+00   4.06316e-13   3.29833e-14   0.00000e+00   3.47837e-13   0.00000e+00   8.60276e-34   
1.1972054447e+17  1.00000e+00   9.71833e-13   3.34797e-14   0.00000e+00   3.56568e-13   0.00000e+00   7.89395e-35   
1.1987585482e+17  1.00000e+00   2.13227e-12   3.40342e-14   0.00000e+00   3.66005e-13   0.00000e+00   -2.87508e-33  
1.2003882617e+17  1.00000e+00   4.85699e-12   3.46208e-14   0.00000e+00   3.75465e-13   0.00000e+00   -7.01514e-33  
1.2020523293e+17  1.00000e+00   1.08665e-11   3.51623e-14   0.00000e+00   3.83147e-13   0.00000e+00   -7.53752e-33  
1.2037510162e+17  1.00000e+00   2.30244e-11   3.55982e-14   0.00000e+00   3.88202e-13   0.00000e+00   3.83742e-33   
1.2054514234e+17  1.00000e+00   4.56838e-11   3.58574e-14   0.00000e+00   3.91385e-13   0.00000e+00   2.61863e-32   
1.2072044080e+17  1.00001e+00   8.77109e-11   3.59269e-14   0.00000e+00   3.94374e-13   0.00000e+00   2.94250e-32   
1.2090091716e+17  1.00001e+00   1.62418e-10   3.58029e-14   0.00000e+00   3.98367e-13   0.00000e+00   -2.79048e-32  
1.2108586928e+17  1.00003e+00   2.88611e-10   3.55112e-14   0.00000e+00   4.04663e-13   0.00000e+00   -9.50310e-32  
1.2127397714e+17  1.00005e+00   4.90371e-10   3.51004e-14   0.00000e+00   4.14799e-13   0.00000e+00   -5.05840e-33  
1.2146625977e+17  1.00009e+00   7.99997e-10   3.46048e-14   0.00000e+00   4.31212e-13   0.00000e+00   1.81592e-31   
1.2165965525e+17  1.00015e+00   1.24483e-09   3.40342e-14   0.00000e+00   4.57054e-13   0.00000e+00   3.91592e-32   
1.2185439048e+17  1.00025e+00   1.85658e-09   3.31161e-14   0.00000e+00   4.97360e-13   0.00000e+00   -2.88986e-32  
1.2204929070e+17  1.00039e+00   2.65776e-09   3.08652e-14   0.00000e+00   5.58338e-13   0.00000e+00   1.59162e-31   
1.2224570540e+17  1.00059e+00   3.67740e-09   2.84265e-14   0.00000e+00   6.49517e-13   0.00000e+00   -2.33417e-30  
1.2244361586e+17  1.00086e+00   4.93522e-09   2.34672e-14   0.00000e+00   7.83558e-13   0.00000e+00   -2.39007e-30  
1.2264281421e+17  1.00122e+00   6.44408e-09   9.57494e-15   0.00000e+00   9.77122e-13   0.00000e+00   1.70032e-29   
1.2270085106e+17  1.00134e+00   2.59626e-05   1.49471e+22   0.00000e+00   2.68755e-05   0.00000e+00   4.08703e-10   
1.2270085106e+17  1.00134e+00   -8.70632e-15  -1.17440e+23  0.00000e+00   1.15776e+03   0.00000e+00   1.68378e+00   
