! na - integrated neutral gas cooling by atomic emission, cooling < 0., [erg cm-2 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
!1           2           3           4           5           6           7           8           
!z(cm)       na          nh2         nh2o        nco         noh         nnh3        nch3oh      
1.34508e+14  -1.349e-12  -5.041e-26  -1.168e-11  -1.144e-10  -6.186e-14  -1.761e-11  0.000e+00   
6.53212e+14  -1.176e-11  -4.393e-25  -1.018e-10  -9.963e-10  -5.389e-13  -1.534e-10  0.000e+00   
2.56556e+15  -5.012e-11  -1.873e-24  -4.340e-10  -4.248e-09  -2.298e-12  -6.540e-10  0.000e+00   
8.00271e+15  -1.592e-10  -5.952e-24  -1.379e-09  -1.349e-08  -7.299e-12  -2.077e-09  0.000e+00   
2.11675e+16  -4.233e-10  -1.583e-23  -3.665e-09  -3.588e-08  -1.941e-11  -5.524e-09  0.000e+00   
4.75300e+16  -9.519e-10  -3.560e-23  -8.245e-09  -8.070e-08  -4.369e-11  -1.243e-08  0.000e+00   
7.87466e+16  -1.577e-09  3.758e-22   -1.369e-08  -1.339e-07  -7.271e-11  -2.062e-08  0.000e+00   
9.44718e+16  -1.895e-09  1.213e-15   -1.649e-08  -1.612e-07  -8.818e-11  -2.481e-08  0.000e+00   
1.02340e+17  -2.060e-09  1.276e-11   -1.799e-08  -1.758e-07  -9.752e-11  -2.701e-08  0.000e+00   
1.06312e+17  -2.153e-09  1.702e-10   -1.886e-08  -1.843e-07  -1.045e-10  -2.825e-08  0.000e+00   
1.08317e+17  -2.208e-09  4.821e-10   -1.943e-08  -1.925e-07  -1.103e-10  -2.906e-08  0.000e+00   
1.09342e+17  -2.241e-09  8.070e-10   -1.981e-08  -2.007e-07  -1.150e-10  -2.961e-08  0.000e+00   
1.09855e+17  -2.260e-09  1.042e-09   -2.003e-08  -2.071e-07  -1.182e-10  -2.993e-08  0.000e+00   
1.10151e+17  -2.272e-09  1.209e-09   -2.018e-08  -2.120e-07  -1.205e-10  -3.013e-08  0.000e+00   
1.10484e+17  -2.286e-09  1.427e-09   -2.035e-08  -2.182e-07  -1.236e-10  -3.037e-08  0.000e+00   
1.10673e+17  -2.295e-09  1.569e-09   -2.045e-08  -2.222e-07  -1.256e-10  -3.052e-08  0.000e+00   
1.10887e+17  -2.305e-09  1.747e-09   -2.058e-08  -2.272e-07  -1.283e-10  -3.069e-08  0.000e+00   
1.11132e+17  -2.318e-09  1.975e-09   -2.073e-08  -2.334e-07  -1.319e-10  -3.089e-08  0.000e+00   
1.11398e+17  -2.333e-09  2.259e-09   -2.091e-08  -2.413e-07  -1.367e-10  -3.113e-08  0.000e+00   
1.11669e+17  -2.349e-09  2.591e-09   -2.112e-08  -2.504e-07  -1.427e-10  -3.139e-08  0.000e+00   
1.11944e+17  -2.368e-09  2.979e-09   -2.135e-08  -2.611e-07  -1.505e-10  -3.168e-08  0.000e+00   
1.12221e+17  -2.389e-09  3.432e-09   -2.160e-08  -2.735e-07  -1.607e-10  -3.199e-08  0.000e+00   
1.12502e+17  -2.413e-09  3.965e-09   -2.190e-08  -2.885e-07  -1.744e-10  -3.233e-08  0.000e+00   
1.12647e+17  -2.427e-09  4.274e-09   -2.207e-08  -2.978e-07  -1.831e-10  -3.252e-08  0.000e+00   
1.12812e+17  -2.443e-09  4.657e-09   -2.228e-08  -3.094e-07  -1.949e-10  -3.275e-08  0.000e+00   
1.12981e+17  -2.461e-09  5.086e-09   -2.251e-08  -3.226e-07  -2.094e-10  -3.301e-08  0.000e+00   
1.13163e+17  -2.483e-09  5.595e-09   -2.279e-08  -3.386e-07  -2.285e-10  -3.329e-08  0.000e+00   
1.13349e+17  -2.510e-09  6.172e-09   -2.308e-08  -3.573e-07  -2.527e-10  -3.361e-08  0.000e+00   
1.13537e+17  -2.544e-09  6.823e-09   -2.341e-08  -3.790e-07  -2.835e-10  -3.395e-08  0.000e+00   
1.13728e+17  -2.591e-09  7.562e-09   -2.376e-08  -4.046e-07  -3.230e-10  -3.433e-08  0.000e+00   
1.13938e+17  -2.665e-09  8.475e-09   -2.418e-08  -4.371e-07  -3.789e-10  -3.478e-08  0.000e+00   
1.14163e+17  -2.791e-09  9.591e-09   -2.468e-08  -4.786e-07  -4.581e-10  -3.532e-08  0.000e+00   
1.14391e+17  -3.002e-09  1.089e-08   -2.524e-08  -5.305e-07  -5.659e-10  -3.592e-08  0.000e+00   
1.14626e+17  -3.375e-09  1.244e-08   -2.588e-08  -5.941e-07  -7.161e-10  -3.660e-08  0.000e+00   
1.14862e+17  -4.035e-09  1.425e-08   -2.660e-08  -6.729e-07  -9.227e-10  -3.738e-08  0.000e+00   
1.14986e+17  -4.557e-09  1.530e-08   -2.702e-08  -7.227e-07  -1.060e-09  -3.782e-08  0.000e+00   
1.15112e+17  -5.271e-09  1.643e-08   -2.746e-08  -7.785e-07  -1.222e-09  -3.830e-08  0.000e+00   
1.15245e+17  -6.316e-09  1.769e-08   -2.797e-08  -8.454e-07  -1.428e-09  -3.884e-08  0.000e+00   
1.15383e+17  -7.810e-09  1.897e-08   -2.853e-08  -9.231e-07  -1.682e-09  -3.944e-08  0.000e+00   
1.15530e+17  -1.006e-08  2.017e-08   -2.917e-08  -1.016e-06  -2.008e-09  -4.012e-08  0.000e+00   
1.15683e+17  -1.338e-08  2.084e-08   -2.988e-08  -1.126e-06  -2.418e-09  -4.089e-08  0.000e+00   
1.15844e+17  -1.844e-08  1.996e-08   -3.070e-08  -1.262e-06  -2.948e-09  -4.177e-08  0.000e+00   
1.16007e+17  -2.587e-08  1.527e-08   -3.161e-08  -1.420e-06  -3.608e-09  -4.273e-08  0.000e+00   
1.16172e+17  -3.666e-08  2.212e-09   -3.261e-08  -1.604e-06  -4.424e-09  -4.380e-08  0.000e+00   
