! nh - concentration of H nuclei, [cm-3]
! aic- abundance of molecules adsorbed on grains, mol/H
! ae - abundance of electrons, e/H
! aio- abundance of ions, ions/H
! vg - velocity gradient of neutral component, [cm/s/cm]
! p1 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p2 - is equal to add_Ne/Ne, add_Ne is the term added to electron production rate Ne to compensate 
!	the velocity difference between ions and charge grains,
! p3 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            12            13            14            15            
!z(cm)            time(yr)      T_n           T_i           T_e           v_n           v_i           nh            aic           ae            aio           vg            p1            p2            p3            
1.3450782492e+14  1.70495e+00   1.13668e+01   1.34623e+01   1.32286e+01   2.50000e+06   2.49975e+06   1.00000e+04   1.73315e-04   4.14674e-08   4.15967e-08   3.48637e-17   9.97999e-18   9.75185e-07   -1.04508e-08  
6.5321168632e+14  8.27979e+00   1.13668e+01   1.34623e+01   1.32288e+01   2.50000e+06   2.49974e+06   1.00000e+04   1.73317e-04   4.14676e-08   4.15969e-08   3.30524e-17   9.98000e-18   1.30789e-06   -1.04508e-08  
2.5655643316e+15  3.25198e+01   1.13668e+01   1.34625e+01   1.32289e+01   2.50000e+06   2.49971e+06   1.00000e+04   1.73322e-04   4.14682e-08   4.15975e-08   2.79338e-17   9.98011e-18   1.27020e-05   -1.04510e-08  
8.0027134175e+15  1.01438e+02   1.13668e+01   1.34630e+01   1.32294e+01   2.50000e+06   2.49961e+06   1.00000e+04   1.73339e-04   4.14694e-08   4.15987e-08   9.37395e-18   9.98048e-18   3.01468e-06   -1.04514e-08  
2.1167455917e+16  2.68308e+02   1.13668e+01   1.34668e+01   1.32332e+01   2.50000e+06   2.49921e+06   1.00000e+04   1.73387e-04   4.14747e-08   4.16038e-08   -6.31378e-17  9.98158e-18   6.84182e-06   -1.04532e-08  
4.7530034065e+16  6.02468e+02   1.13674e+01   1.35525e+01   1.33163e+01   2.49999e+06   2.49667e+06   1.00001e+04   1.73566e-04   4.15530e-08   4.16813e-08   -4.29750e-16  9.98091e-18   4.91848e-07   -1.04724e-08  
7.8746629745e+16  9.98162e+02   1.13838e+01   1.61856e+01   1.58581e+01   2.49991e+06   2.48187e+06   1.00004e+04   1.74369e-04   4.33736e-08   4.34878e-08   -2.56666e-15  9.91780e-18   1.15065e-07   -1.08029e-08  
9.4471785946e+16  1.19750e+03   1.14828e+01   3.14014e+01   3.06169e+01   2.49974e+06   2.45294e+06   1.00011e+04   1.75890e-04   4.97880e-08   4.98741e-08   -1.05424e-14  1.03997e-17   2.62040e-07   -1.31684e-08  
1.0234018423e+17  1.29725e+03   1.17805e+01   7.36710e+01   7.07677e+01   2.49949e+06   2.41237e+06   1.00021e+04   1.78082e-04   5.86675e-08   5.87342e-08   -3.14307e-14  1.13534e-17   7.32109e-07   -2.27544e-08  
1.0631228612e+17  1.34761e+03   1.23515e+01   1.47632e+02   1.11754e+02   2.49920e+06   2.36715e+06   1.00033e+04   1.80669e-04   6.55979e-08   6.56573e-08   -7.46949e-14  1.08783e-17   2.08420e-06   -3.35215e-08  
