! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule (total and only within state v = 0)
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        rlh2v0      ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
1.00000e+00  0.000e+00   5.161e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   6.478e-24   2.844e-26   -4.989e-25  1.749e-22   -7.862e-122 1.034e-25   3.084e-24   1.014e-24   3.852e-27   1.760e-27   -6.478e-24  2.407e-25   5.609e-24   0.000e+00   2.479e-27   0.000e+00   -2.844e-26  -2.407e-25  -3.595e-25  
1.07461e+00  0.000e+00   5.546e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   6.701e-24   2.942e-26   -4.991e-25  1.784e-22   -8.507e-122 1.034e-25   3.084e-24   1.015e-24   4.112e-27   1.892e-27   -6.701e-24  2.395e-25   5.833e-24   0.000e+00   2.484e-27   0.000e+00   -2.942e-26  -2.395e-25  -3.601e-25  
1.15478e+00  0.000e+00   5.957e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   6.937e-24   3.046e-26   -4.992e-25  1.821e-22   -9.211e-122 1.034e-25   3.084e-24   1.015e-24   4.385e-27   2.032e-27   -6.937e-24  2.383e-25   6.070e-24   0.000e+00   2.489e-27   0.000e+00   -3.046e-26  -2.383e-25  -3.606e-25  
1.24094e+00  0.000e+00   6.397e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   7.188e-24   3.156e-26   -4.993e-25  1.859e-22   -9.979e-122 1.034e-25   3.084e-24   1.015e-24   4.673e-27   2.184e-27   -7.188e-24  2.371e-25   6.321e-24   0.000e+00   2.494e-27   0.000e+00   -3.156e-26  -2.371e-25  -3.613e-25  
1.33352e+00  0.000e+00   6.866e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   7.453e-24   3.272e-26   -4.995e-25  1.900e-22   -1.082e-121 1.034e-25   3.084e-24   1.016e-24   4.976e-27   2.346e-27   -7.453e-24  2.357e-25   6.587e-24   0.000e+00   2.499e-27   0.000e+00   -3.272e-26  -2.357e-25  -3.619e-25  
1.43301e+00  0.000e+00   7.366e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   7.733e-24   3.395e-26   -4.997e-25  1.944e-22   -1.173e-121 1.034e-25   3.084e-24   1.016e-24   5.295e-27   2.521e-27   -7.733e-24  2.343e-25   6.868e-24   0.000e+00   2.505e-27   0.000e+00   -3.395e-26  -2.343e-25  -3.626e-25  
1.53993e+00  0.000e+00   7.899e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   8.028e-24   3.525e-26   -4.999e-25  1.989e-22   -1.273e-121 1.034e-25   3.084e-24   1.017e-24   5.629e-27   2.709e-27   -8.028e-24  2.328e-25   7.164e-24   0.000e+00   2.511e-27   0.000e+00   -3.525e-26  -2.328e-25  -3.633e-25  
1.65482e+00  0.000e+00   8.467e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   8.339e-24   3.662e-26   -5.001e-25  2.038e-22   -1.383e-121 1.034e-25   3.084e-24   1.017e-24   5.981e-27   2.910e-27   -8.339e-24  2.313e-25   7.475e-24   0.000e+00   2.518e-27   0.000e+00   -3.662e-26  -2.313e-25  -3.640e-25  
1.77828e+00  0.000e+00   9.073e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   8.666e-24   3.805e-26   -5.003e-25  2.088e-22   -1.502e-121 1.034e-25   3.084e-24   1.018e-24   6.350e-27   3.126e-27   -8.666e-24  2.296e-25   7.803e-24   0.000e+00   2.525e-27   0.000e+00   -3.805e-26  -2.296e-25  -3.647e-25  
1.91095e+00  0.000e+00   9.717e-27   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   9.009e-24   3.956e-26   -5.006e-25  2.141e-22   -1.633e-121 1.034e-25   3.084e-24   1.018e-24   6.736e-27   3.359e-27   -9.009e-24  2.279e-25   8.147e-24   0.000e+00   2.533e-27   0.000e+00   -3.956e-26  -2.279e-25  -3.655e-25  
