! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - electron concentration, [cm-3]
! p5 - ion concentration (without PAHs and small grains), [cm-3]
! p6 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            
!time(yrs)     T_n           T_i           T_e           oph2          p1            p2            p3            p4            p5            p6            
1.0000000e+00  1.00020e+01   1.00064e+01   1.00064e+01   1.00000e-01   1.96367e-09   2.52607e-15   1.20140e-21   2.78990e+00   2.78990e+00   -2.21321e-07  
1.0746078e+00  1.00022e+01   1.00067e+01   1.00067e+01   1.00000e-01   2.11012e-09   3.12665e-15   1.28494e-21   2.78899e+00   2.78899e+00   -2.21322e-07  
1.1547820e+00  1.00024e+01   1.00071e+01   1.00071e+01   1.00000e-01   2.26749e-09   3.86777e-15   1.37411e-21   2.78801e+00   2.78801e+00   -2.21322e-07  
1.2409378e+00  1.00026e+01   1.00074e+01   1.00074e+01   1.00000e-01   2.43661e-09   4.78170e-15   1.46829e-21   2.78695e+00   2.78695e+00   -2.21323e-07  
1.3335214e+00  1.00029e+01   1.00079e+01   1.00079e+01   1.00000e-01   2.61836e-09   5.90791e-15   1.56810e-21   2.78582e+00   2.78582e+00   -2.21323e-07  
1.4330126e+00  1.00031e+01   1.00083e+01   1.00083e+01   1.00000e-01   2.81367e-09   7.29465e-15   1.67416e-21   2.78460e+00   2.78460e+00   -2.21324e-07  
1.5399265e+00  1.00034e+01   1.00088e+01   1.00088e+01   1.00000e-01   3.02357e-09   9.00077e-15   1.78706e-21   2.78329e+00   2.78329e+00   -2.21325e-07  
1.6548171e+00  1.00037e+01   1.00093e+01   1.00093e+01   1.00000e-01   3.24913e-09   1.10980e-14   1.90625e-21   2.78188e+00   2.78188e+00   -2.21325e-07  
1.7782794e+00  1.00041e+01   1.00099e+01   1.00099e+01   1.00000e-01   3.49154e-09   1.36736e-14   2.03190e-21   2.78036e+00   2.78036e+00   -2.21326e-07  
1.9109530e+00  1.00044e+01   1.00105e+01   1.00105e+01   1.00000e-01   3.75204e-09   1.68335e-14   2.16405e-21   2.77873e+00   2.77873e+00   -2.21327e-07  
2.0535250e+00  1.00049e+01   1.00112e+01   1.00112e+01   1.00000e-01   4.03199e-09   2.07060e-14   2.30420e-21   2.77697e+00   2.77697e+00   -2.21328e-07  
2.2067341e+00  1.00053e+01   1.00119e+01   1.00119e+01   1.00000e-01   4.33285e-09   2.54465e-14   2.45066e-21   2.77508e+00   2.77508e+00   -2.21329e-07  
2.3713737e+00  1.00058e+01   1.00127e+01   1.00127e+01   1.00000e-01   4.65618e-09   3.12421e-14   2.60689e-21   2.77305e+00   2.77305e+00   -2.21330e-07  
2.5482967e+00  1.00064e+01   1.00135e+01   1.00135e+01   1.00000e-01   5.00365e-09   3.83181e-14   2.77051e-21   2.77086e+00   2.77086e+00   -2.21331e-07  
2.7384196e+00  1.00070e+01   1.00144e+01   1.00144e+01   1.00000e-01   5.37708e-09   4.69446e-14   2.94031e-21   2.76851e+00   2.76851e+00   -2.21332e-07  
2.9427272e+00  1.00077e+01   1.00154e+01   1.00154e+01   1.00000e-01   5.77840e-09   5.74447e-14   3.11921e-21   2.76598e+00   2.76598e+00   -2.21334e-07  
3.1622777e+00  1.00085e+01   1.00165e+01   1.00165e+01   1.00000e-01   6.20970e-09   7.02030e-14   3.30621e-21   2.76325e+00   2.76325e+00   -2.21335e-07  
3.3982083e+00  1.00093e+01   1.00176e+01   1.00176e+01   1.00000e-01   6.67323e-09   8.56759e-14   3.50086e-21   2.76032e+00   2.76032e+00   -2.21337e-07  
3.6517413e+00  1.00102e+01   1.00189e+01   1.00189e+01   1.00000e-01   7.17139e-09   1.04402e-13   3.70485e-21   2.75717e+00   2.75717e+00   -2.21338e-07  
3.9241898e+00  1.00112e+01   1.00203e+01   1.00203e+01   1.00000e-01   7.70677e-09   1.27015e-13   3.91630e-21   2.75378e+00   2.75378e+00   -2.21340e-07  
4.2169650e+00  1.00124e+01   1.00217e+01   1.00218e+01   1.00000e-01   8.28218e-09   1.54253e-13   4.13584e-21   2.75013e+00   2.75013e+00   -2.21342e-07  
4.5315836e+00  1.00136e+01   1.00234e+01   1.00234e+01   1.00000e-01   8.90059e-09   1.86975e-13   4.36333e-21   2.74621e+00   2.74621e+00   -2.21344e-07  
4.8696753e+00  1.00150e+01   1.00251e+01   1.00251e+01   1.00000e-01   9.56525e-09   2.26166e-13   4.59802e-21   2.74199e+00   2.74199e+00   -2.21347e-07  
5.2329911e+00  1.00165e+01   1.00270e+01   1.00270e+01   1.00000e-01   1.02796e-08   2.72956e-13   4.84100e-21   2.73746e+00   2.73746e+00   -2.21349e-07  
5.6234133e+00  1.00182e+01   1.00290e+01   1.00290e+01   1.00000e-01   1.10474e-08   3.28617e-13   5.09180e-21   2.73259e+00   2.73259e+00   -2.21352e-07  
6.0429639e+00  1.00201e+01   1.00313e+01   1.00313e+01   1.00000e-01   1.18726e-08   3.94573e-13   5.34945e-21   2.72735e+00   2.72735e+00   -2.21355e-07  
6.4938163e+00  1.00221e+01   1.00337e+01   1.00337e+01   1.00000e-01   1.27595e-08   4.72394e-13   5.61431e-21   2.72172e+00   2.72172e+00   -2.21359e-07  
6.9783058e+00  1.00243e+01   1.00363e+01   1.00363e+01   1.00000e-01   1.37129e-08   5.63787e-13   5.88634e-21   2.71568e+00   2.71568e+00   -2.21362e-07  
7.4989421e+00  1.00268e+01   1.00391e+01   1.00391e+01   1.00000e-01   1.47376e-08   6.70570e-13   6.16576e-21   2.70920e+00   2.70920e+00   -2.21366e-07  
8.0584219e+00  1.00295e+01   1.00422e+01   1.00422e+01   1.00000e-01   1.58390e-08   7.94645e-13   6.45297e-21   2.70224e+00   2.70224e+00   -2.21370e-07  
8.6596432e+00  1.00325e+01   1.00456e+01   1.00456e+01   1.00000e-01   1.70229e-08   9.37947e-13   6.74872e-21   2.69477e+00   2.69477e+00   -2.21375e-07  
9.3057204e+00  1.00358e+01   1.00492e+01   1.00492e+01   1.00000e-01   1.82955e-08   1.10239e-12   7.05428e-21   2.68676e+00   2.68676e+00   -2.21380e-07  
1.0000000e+01  1.00394e+01   1.00531e+01   1.00531e+01   1.00000e-01   1.96634e-08   1.28981e-12   7.37164e-21   2.67818e+00   2.67818e+00   -2.21385e-07  
1.0746078e+01  1.00434e+01   1.00574e+01   1.00574e+01   1.00000e-01   2.11338e-08   1.50186e-12   7.70374e-21   2.66899e+00   2.66899e+00   -2.21391e-07  
1.1547820e+01  1.00477e+01   1.00621e+01   1.00621e+01   1.00000e-01   2.27145e-08   1.74001e-12   8.05486e-21   2.65914e+00   2.65914e+00   -2.21397e-07  
1.2409378e+01  1.00525e+01   1.00671e+01   1.00671e+01   1.00000e-01   2.44137e-08   2.00545e-12   8.43105e-21   2.64861e+00   2.64861e+00   -2.21404e-07  
1.3335214e+01  1.00576e+01   1.00726e+01   1.00726e+01   1.00000e-01   2.62402e-08   2.29913e-12   8.84078e-21   2.63734e+00   2.63734e+00   -2.21412e-07  
1.4330126e+01  1.00633e+01   1.00785e+01   1.00785e+01   1.00000e-01   2.82037e-08   2.62181e-12   9.29571e-21   2.62530e+00   2.62530e+00   -2.21420e-07  
1.5399265e+01  1.00695e+01   1.00850e+01   1.00850e+01   1.00000e-01   3.03144e-08   2.97422e-12   9.81182e-21   2.61244e+00   2.61244e+00   -2.21429e-07  
1.6548171e+01  1.00762e+01   1.00919e+01   1.00919e+01   1.00000e-01   3.25834e-08   3.35727e-12   1.04108e-20   2.59872e+00   2.59872e+00   -2.21438e-07  
1.7782794e+01  1.00835e+01   1.00995e+01   1.00995e+01   1.00000e-01   3.50223e-08   3.77238e-12   1.11218e-20   2.58408e+00   2.58408e+00   -2.21449e-07  
1.9109530e+01  1.00914e+01   1.01077e+01   1.01077e+01   9.99999e-02   3.76438e-08   4.22187e-12   1.19841e-20   2.56848e+00   2.56848e+00   -2.21460e-07  
2.0535250e+01  1.01001e+01   1.01166e+01   1.01166e+01   9.99999e-02   4.04614e-08   4.70931e-12   1.30501e-20   2.55187e+00   2.55187e+00   -2.21472e-07  
2.2067341e+01  1.01095e+01   1.01262e+01   1.01262e+01   9.99999e-02   4.34893e-08   5.23985e-12   1.43892e-20   2.53420e+00   2.53420e+00   -2.21486e-07  
2.3713737e+01  1.01197e+01   1.01366e+01   1.01366e+01   9.99999e-02   4.67428e-08   5.82044e-12   1.60931e-20   2.51542e+00   2.51542e+00   -2.21500e-07  
2.5482967e+01  1.01307e+01   1.01479e+01   1.01479e+01   9.99999e-02   5.02380e-08   6.45989e-12   1.82823e-20   2.49548e+00   2.49548e+00   -2.21516e-07  
2.7384196e+01  1.01427e+01   1.01601e+01   1.01601e+01   9.99999e-02   5.39916e-08   7.16878e-12   2.11132e-20   2.47433e+00   2.47433e+00   -2.21533e-07  
2.9427272e+01  1.01557e+01   1.01732e+01   1.01732e+01   9.99999e-02   5.80213e-08   7.95938e-12   2.47878e-20   2.45191e+00   2.45191e+00   -2.21551e-07  
3.1622777e+01  1.01697e+01   1.01874e+01   1.01874e+01   9.99999e-02   6.23454e-08   8.84548e-12   2.95628e-20   2.42818e+00   2.42818e+00   -2.21571e-07  
3.3982083e+01  1.01848e+01   1.02028e+01   1.02028e+01   9.99998e-02   6.69826e-08   9.84242e-12   3.57604e-20   2.40308e+00   2.40308e+00   -2.21592e-07  
3.6517413e+01  1.02012e+01   1.02193e+01   1.02193e+01   9.99998e-02   7.19517e-08   1.09672e-11   4.37759e-20   2.37658e+00   2.37658e+00   -2.21615e-07  
3.9241898e+01  1.02188e+01   1.02372e+01   1.02372e+01   9.99998e-02   7.72721e-08   1.22388e-11   5.40820e-20   2.34862e+00   2.34862e+00   -2.21640e-07  
4.2169650e+01  1.02378e+01   1.02564e+01   1.02564e+01   9.99998e-02   8.29625e-08   1.36787e-11   6.72244e-20   2.31916e+00   2.31916e+00   -2.21667e-07  
4.5315836e+01  1.02583e+01   1.02771e+01   1.02771e+01   9.99997e-02   8.90421e-08   1.53110e-11   8.38044e-20   2.28816e+00   2.28817e+00   -2.21696e-07  
4.8696753e+01  1.02804e+01   1.02994e+01   1.02994e+01   9.99997e-02   9.55295e-08   1.71636e-11   1.04444e-19   2.25559e+00   2.25560e+00   -2.21728e-07  
5.2329911e+01  1.03041e+01   1.03234e+01   1.03234e+01   9.99996e-02   1.02444e-07   1.92683e-11   1.29728e-19   2.22142e+00   2.22142e+00   -2.21761e-07  
5.6234133e+01  1.03296e+01   1.03491e+01   1.03491e+01   9.99996e-02   1.09805e-07   2.16618e-11   1.60133e-19   2.18561e+00   2.18562e+00   -2.21798e-07  
6.0429639e+01  1.03570e+01   1.03768e+01   1.03768e+01   9.99995e-02   1.17635e-07   2.43867e-11   1.95940e-19   2.14815e+00   2.14816e+00   -2.21837e-07  
6.4938163e+01  1.03864e+01   1.04065e+01   1.04065e+01   9.99994e-02   1.25959e-07   2.74919e-11   2.37162e-19   2.10903e+00   2.10903e+00   -2.21879e-07  
6.9783058e+01  1.04179e+01   1.04383e+01   1.04383e+01   9.99994e-02   1.34805e-07   3.10347e-11   2.83503e-19   2.06822e+00   2.06823e+00   -2.21925e-07  
7.4989421e+01  1.04517e+01   1.04724e+01   1.04724e+01   9.99993e-02   1.44208e-07   3.50814e-11   3.34357e-19   2.02574e+00   2.02575e+00   -2.21974e-07  
