!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.00000e+00   1.00000e+00   4.30103e+00   1.00009e+00   1.08209e+00   
1.07461e+00   1.00000e+00   4.30103e+00   1.00010e+00   1.08209e+00   
1.15478e+00   1.00000e+00   4.30103e+00   1.00011e+00   1.08209e+00   
1.24094e+00   1.00000e+00   4.30103e+00   1.00012e+00   1.08209e+00   
1.33352e+00   1.00000e+00   4.30103e+00   1.00013e+00   1.08209e+00   
1.43301e+00   1.00000e+00   4.30103e+00   1.00014e+00   1.08209e+00   
1.53993e+00   1.00000e+00   4.30103e+00   1.00015e+00   1.08209e+00   
1.65482e+00   1.00000e+00   4.30103e+00   1.00016e+00   1.08209e+00   
1.77828e+00   1.00000e+00   4.30103e+00   1.00018e+00   1.08209e+00   
1.91095e+00   1.00000e+00   4.30103e+00   1.00019e+00   1.08209e+00   
2.05353e+00   1.00000e+00   4.30103e+00   1.00021e+00   1.08209e+00   
2.20673e+00   1.00000e+00   4.30103e+00   1.00023e+00   1.08209e+00   
2.37137e+00   1.00000e+00   4.30103e+00   1.00026e+00   1.08209e+00   
2.54830e+00   1.00000e+00   4.30103e+00   1.00028e+00   1.08209e+00   
2.73842e+00   1.00000e+00   4.30103e+00   1.00031e+00   1.08209e+00   
2.94273e+00   1.00000e+00   4.30103e+00   1.00034e+00   1.08209e+00   
3.16228e+00   1.00000e+00   4.30103e+00   1.00037e+00   1.08209e+00   
3.39821e+00   1.00000e+00   4.30103e+00   1.00041e+00   1.08209e+00   
3.65174e+00   1.00000e+00   4.30103e+00   1.00045e+00   1.08209e+00   
3.92419e+00   1.00000e+00   4.30103e+00   1.00049e+00   1.08209e+00   
4.21697e+00   1.00000e+00   4.30103e+00   1.00054e+00   1.08209e+00   
4.53158e+00   1.00000e+00   4.30103e+00   1.00060e+00   1.08209e+00   
4.86968e+00   1.00000e+00   4.30103e+00   1.00066e+00   1.08209e+00   
5.23299e+00   1.00000e+00   4.30103e+00   1.00072e+00   1.08209e+00   
5.62341e+00   1.00000e+00   4.30103e+00   1.00080e+00   1.08209e+00   
6.04296e+00   1.00000e+00   4.30103e+00   1.00088e+00   1.08209e+00   
6.49382e+00   1.00000e+00   4.30103e+00   1.00097e+00   1.08209e+00   
6.97831e+00   1.00000e+00   4.30103e+00   1.00106e+00   1.08209e+00   
7.49894e+00   1.00000e+00   4.30103e+00   1.00117e+00   1.08209e+00   
