! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - electron concentration, [cm-3]
! p5 - ion concentration (without PAHs and small grains), [cm-3]
! p6 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            
!time(yrs)     T_n           T_i           T_e           oph2          p1            p2            p3            p4            p5            p6            
1.0000000e+00  1.00030e+01   1.00112e+01   1.00112e+01   1.00000e-01   1.96309e-09   2.44064e-15   1.19892e-21   2.78996e+00   2.78997e+00   -2.21147e-07  
1.0746078e+00  1.00033e+01   1.00116e+01   1.00116e+01   1.00000e-01   2.10954e-09   3.00561e-15   1.28293e-21   2.78906e+00   2.78906e+00   -2.21147e-07  
1.1547820e+00  1.00036e+01   1.00120e+01   1.00120e+01   1.00000e-01   2.26692e-09   3.69641e-15   1.37344e-21   2.78809e+00   2.78809e+00   -2.21148e-07  
1.2409378e+00  1.00039e+01   1.00125e+01   1.00125e+01   1.00000e-01   2.43605e-09   4.53932e-15   1.46696e-21   2.78704e+00   2.78704e+00   -2.21148e-07  
1.3335214e+00  1.00042e+01   1.00130e+01   1.00130e+01   1.00000e-01   2.61780e-09   5.56552e-15   1.56699e-21   2.78591e+00   2.78591e+00   -2.21149e-07  
1.4330126e+00  1.00045e+01   1.00136e+01   1.00136e+01   1.00000e-01   2.81313e-09   6.81175e-15   1.67352e-21   2.78470e+00   2.78470e+00   -2.21150e-07  
1.5399265e+00  1.00049e+01   1.00142e+01   1.00142e+01   1.00000e-01   3.02303e-09   8.32104e-15   1.78694e-21   2.78339e+00   2.78339e+00   -2.21150e-07  
1.6548171e+00  1.00054e+01   1.00148e+01   1.00148e+01   1.00000e-01   3.24860e-09   1.01434e-14   1.90572e-21   2.78199e+00   2.78199e+00   -2.21151e-07  
1.7782794e+00  1.00058e+01   1.00155e+01   1.00155e+01   1.00000e-01   3.49102e-09   1.23364e-14   2.03215e-21   2.78048e+00   2.78048e+00   -2.21152e-07  
1.9109530e+00  1.00063e+01   1.00163e+01   1.00163e+01   1.00000e-01   3.75153e-09   1.49659e-14   2.16405e-21   2.77886e+00   2.77886e+00   -2.21153e-07  
2.0535250e+00  1.00069e+01   1.00171e+01   1.00171e+01   1.00000e-01   4.03150e-09   1.81064e-14   2.30731e-21   2.77711e+00   2.77711e+00   -2.21154e-07  
2.2067341e+00  1.00075e+01   1.00180e+01   1.00180e+01   1.00000e-01   4.33238e-09   2.18414e-14   2.45634e-21   2.77523e+00   2.77523e+00   -2.21155e-07  
2.3713737e+00  1.00082e+01   1.00189e+01   1.00189e+01   1.00000e-01   4.65572e-09   2.62637e-14   2.61452e-21   2.77320e+00   2.77320e+00   -2.21156e-07  
2.5482967e+00  1.00089e+01   1.00200e+01   1.00200e+01   1.00000e-01   5.00322e-09   3.14753e-14   2.78107e-21   2.77103e+00   2.77103e+00   -2.21157e-07  
2.7384196e+00  1.00097e+01   1.00211e+01   1.00211e+01   1.00000e-01   5.37666e-09   3.75876e-14   2.95674e-21   2.76869e+00   2.76869e+00   -2.21158e-07  
2.9427272e+00  1.00106e+01   1.00223e+01   1.00223e+01   1.00000e-01   5.77801e-09   4.47224e-14   3.14060e-21   2.76617e+00   2.76617e+00   -2.21160e-07  
3.1622777e+00  1.00116e+01   1.00236e+01   1.00236e+01   1.00000e-01   6.20933e-09   5.30123e-14   3.33567e-21   2.76346e+00   2.76346e+00   -2.21161e-07  
3.3982083e+00  1.00127e+01   1.00250e+01   1.00250e+01   1.00000e-01   6.67288e-09   6.26042e-14   3.54213e-21   2.76054e+00   2.76054e+00   -2.21163e-07  
3.6517413e+00  1.00139e+01   1.00265e+01   1.00265e+01   1.00000e-01   7.17106e-09   7.36628e-14   3.76011e-21   2.75740e+00   2.75740e+00   -2.21165e-07  
3.9241898e+00  1.00152e+01   1.00282e+01   1.00282e+01   1.00000e-01   7.70647e-09   8.63782e-14   3.99227e-21   2.75403e+00   2.75403e+00   -2.21167e-07  
4.2169650e+00  1.00166e+01   1.00300e+01   1.00300e+01   1.00000e-01   8.28189e-09   1.00975e-13   4.23590e-21   2.75040e+00   2.75040e+00   -2.21169e-07  
4.5315836e+00  1.00182e+01   1.00319e+01   1.00319e+01   1.00000e-01   8.90032e-09   1.17726e-13   4.49853e-21   2.74650e+00   2.74650e+00   -2.21171e-07  
