! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule (total and only within state v = 0)
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          27          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        rlh2v0      ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
1.00000e+00  -3.681e-25  4.798e-27   -4.048e-29  -4.730e-27  0.000e+00   0.000e+00   0.000e+00   7.802e-24   3.425e-26   -7.042e-26  2.130e-22   -9.331e-122 1.034e-25   3.084e-24   9.512e-25   3.617e-27   1.760e-27   -7.802e-24  1.900e-25   6.708e-24   -1.170e-25  2.804e-27   -2.268e-29  -3.425e-26  -1.900e-25  -5.630e-25  
1.03663e+00  -3.740e-25  4.974e-27   -3.939e-29  -4.961e-27  0.000e+00   0.000e+00   0.000e+00   7.944e-24   3.487e-26   -7.049e-26  2.152e-22   -9.710e-122 1.034e-25   3.084e-24   9.514e-25   3.736e-27   1.824e-27   -7.944e-24  1.879e-25   6.852e-24   -1.184e-25  2.807e-27   -2.207e-29  -3.487e-26  -1.879e-25  -5.633e-25  
1.07461e+00  -3.800e-25  5.156e-27   -3.833e-29  -5.206e-27  0.000e+00   0.000e+00   0.000e+00   8.090e-24   3.552e-26   -7.057e-26  2.174e-22   -1.011e-121 1.034e-25   3.084e-24   9.515e-25   3.859e-27   1.891e-27   -8.090e-24  1.857e-25   7.000e-24   -1.198e-25  2.810e-27   -2.147e-29  -3.552e-26  -1.857e-25  -5.636e-25  
1.11397e+00  -3.859e-25  5.344e-27   -3.730e-29  -5.468e-27  0.000e+00   0.000e+00   0.000e+00   8.240e-24   3.617e-26   -7.064e-26  2.196e-22   -1.052e-121 1.034e-25   3.084e-24   9.517e-25   3.986e-27   1.960e-27   -8.240e-24  1.835e-25   7.152e-24   -1.213e-25  2.812e-27   -2.089e-29  -3.617e-26  -1.835e-25  -5.639e-25  
1.15478e+00  -3.917e-25  5.539e-27   -3.631e-29  -5.746e-27  0.000e+00   0.000e+00   0.000e+00   8.394e-24   3.685e-26   -7.073e-26  2.220e-22   -1.095e-121 1.034e-25   3.084e-24   9.519e-25   4.115e-27   2.031e-27   -8.394e-24  1.812e-25   7.308e-24   -1.228e-25  2.815e-27   -2.033e-29  -3.685e-26  -1.812e-25  -5.642e-25  
1.19709e+00  -3.976e-25  5.740e-27   -3.535e-29  -6.042e-27  0.000e+00   0.000e+00   0.000e+00   8.552e-24   3.755e-26   -7.081e-26  2.244e-22   -1.140e-121 1.034e-25   3.084e-24   9.521e-25   4.248e-27   2.106e-27   -8.552e-24  1.788e-25   7.469e-24   -1.243e-25  2.818e-27   -1.980e-29  -3.755e-26  -1.788e-25  -5.646e-25  
1.24094e+00  -4.036e-25  5.947e-27   -3.444e-29  -6.357e-27  0.000e+00   0.000e+00   0.000e+00   8.714e-24   3.826e-26   -7.090e-26  2.268e-22   -1.187e-121 1.034e-25   3.084e-24   9.523e-25   4.385e-27   2.183e-27   -8.714e-24  1.764e-25   7.633e-24   -1.259e-25  2.821e-27   -1.928e-29  -3.826e-26  -1.764e-25  -5.649e-25  
1.28640e+00  -4.094e-25  6.162e-27   -3.355e-29  -6.693e-27  0.000e+00   0.000e+00   0.000e+00   8.881e-24   3.899e-26   -7.100e-26  2.294e-22   -1.237e-121 1.034e-25   3.084e-24   9.526e-25   4.525e-27   2.262e-27   -8.881e-24  1.739e-25   7.802e-24   -1.275e-25  2.824e-27   -1.878e-29  -3.899e-26  -1.739e-25  -5.652e-25  
1.33352e+00  -4.151e-25  6.383e-27   -3.271e-29  -7.051e-27  0.000e+00   0.000e+00   0.000e+00   9.052e-24   3.974e-26   -7.109e-26  2.320e-22   -1.288e-121 1.034e-25   3.084e-24   9.528e-25   4.668e-27   2.345e-27   -9.052e-24  1.714e-25   7.975e-24   -1.291e-25  2.827e-27   -1.830e-29  -3.974e-26  -1.714e-25  -5.656e-25  
1.38237e+00  -4.208e-25  6.612e-27   -3.191e-29  -7.431e-27  0.000e+00   0.000e+00   0.000e+00   9.227e-24   4.051e-26   -7.120e-26  2.346e-22   -1.342e-121 1.034e-25   3.084e-24   9.530e-25   4.816e-27   2.431e-27   -9.227e-24  1.688e-25   8.153e-24   -1.308e-25  2.830e-27   -1.785e-29  -4.051e-26  -1.688e-25  -5.659e-25  
