! na - neutral gas cooling by atomic emission, cooling < 0., [erg cm-3 s-1]
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! ni - neutral gas heating by neutral-ion collisions
! ne - neutral gas heating by neutral-electron collisions
! nd - neutral gas heating by neutral-dust collisions
! nch - neutral gas heating by chemical reactions
! nh2-h - neutral gas cooling by H2-H dissociation (is included in previous parameter nch)
! ph - heating by photoeffect on dust grains
! cr - heating by cosmic rays
! rlh2 - radiative energy loss by H2 molecule
! ih2 - ion fluid cooling via excitation of H2 via ion-H2 collisions
! in - ion gas component heating by neutral-ion collisions
! ie - ion gas component heating by ion-electron collisions
! ich - ion gas component heating by chemical reactions
! ea - electron component cooling by atomic emission
! eh2 - electron component cooling by H2 emission
! eh2o - electron component cooling by H2O emission
! en - electron component heating by neutral-electron collisions
! ei - electron component heating by ion-electron collisions
! ech - electron component heating by chemical reactions
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          19          20          21          22          23          24          25          26          
!t(yr)/z(cm) na          nh2         nh2o        nco         noh         nnh3        nch3oh      ni          ne          nd          nch         nh2-h       ph          cr          rlh2        ih2         in          ie          ich         ea          eh2         eh2o        en          ei          ech         
1.00000e+00  -3.248e-25  5.168e-28   -4.975e-29  -4.691e-27  0.000e+00   0.000e+00   0.000e+00   5.820e-24   2.555e-26   1.390e-24   1.706e-22   -1.677e-123 1.034e-26   3.084e-25   1.016e-25   0.000e+00   -5.820e-24  1.562e-25   5.035e-24   -8.643e-26  2.485e-28   -2.297e-29  -2.555e-26  -1.562e-25  -3.605e-25  
1.07461e+00  -3.365e-25  5.554e-28   -4.740e-29  -5.178e-27  0.000e+00   0.000e+00   0.000e+00   6.041e-24   2.652e-26   1.390e-24   1.741e-22   -1.815e-123 1.034e-26   3.084e-25   1.016e-25   0.000e+00   -6.041e-24  1.532e-25   5.259e-24   -8.833e-26  2.489e-28   -2.188e-29  -2.652e-26  -1.532e-25  -3.610e-25  
1.15478e+00  -3.485e-25  5.966e-28   -4.515e-29  -5.729e-27  0.000e+00   0.000e+00   0.000e+00   6.275e-24   2.755e-26   1.390e-24   1.778e-22   -1.966e-123 1.034e-26   3.084e-25   1.017e-25   0.000e+00   -6.275e-24  1.500e-25   5.495e-24   -9.035e-26  2.494e-28   -2.084e-29  -2.755e-26  -1.500e-25  -3.616e-25  
1.24094e+00  -3.604e-25  6.406e-28   -4.300e-29  -6.354e-27  0.000e+00   0.000e+00   0.000e+00   6.522e-24   2.864e-26   1.390e-24   1.817e-22   -2.130e-123 1.034e-26   3.084e-25   1.017e-25   0.000e+00   -6.522e-24  1.466e-25   5.746e-24   -9.248e-26  2.499e-28   -1.984e-29  -2.864e-26  -1.466e-25  -3.622e-25  
1.33352e+00  -3.727e-25  6.876e-28   -4.096e-29  -7.065e-27  0.000e+00   0.000e+00   0.000e+00   6.785e-24   2.979e-26   1.390e-24   1.858e-22   -2.310e-123 1.034e-26   3.084e-25   1.018e-25   0.000e+00   -6.785e-24  1.430e-25   6.012e-24   -9.474e-26  2.505e-28   -1.889e-29  -2.979e-26  -1.430e-25  -3.628e-25  
1.43301e+00  -3.847e-25  7.377e-28   -3.906e-29  -7.871e-27  0.000e+00   0.000e+00   0.000e+00   7.062e-24   3.100e-26   1.389e-24   1.901e-22   -2.506e-123 1.034e-26   3.084e-25   1.018e-25   0.000e+00   -7.062e-24  1.392e-25   6.292e-24   -9.713e-26  2.511e-28   -1.801e-29  -3.100e-26  -1.392e-25  -3.635e-25  
1.53993e+00  -3.970e-25  7.911e-28   -3.730e-29  -8.787e-27  0.000e+00   0.000e+00   0.000e+00   7.354e-24   3.229e-26   1.389e-24   1.947e-22   -2.721e-123 1.034e-26   3.084e-25   1.019e-25   0.000e+00   -7.354e-24  1.352e-25   6.587e-24   -9.964e-26  2.517e-28   -1.719e-29  -3.229e-26  -1.352e-25  -3.642e-25  
1.65482e+00  -4.090e-25  8.480e-28   -3.569e-29  -9.826e-27  0.000e+00   0.000e+00   0.000e+00   7.661e-24   3.364e-26   1.389e-24   1.995e-22   -2.956e-123 1.034e-26   3.084e-25   1.019e-25   0.000e+00   -7.661e-24  1.310e-25   6.899e-24   -1.023e-25  2.524e-28   -1.644e-29  -3.364e-26  -1.310e-25  -3.649e-25  
1.77828e+00  -4.214e-25  9.086e-28   -3.423e-29  -1.101e-26  0.000e+00   0.000e+00   0.000e+00   7.984e-24   3.506e-26   1.389e-24   2.045e-22   -3.213e-123 1.034e-26   3.084e-25   1.020e-25   0.000e+00   -7.984e-24  1.266e-25   7.226e-24   -1.051e-25  2.531e-28   -1.576e-29  -3.506e-26  -1.266e-25  -3.657e-25  
1.91095e+00  -4.332e-25  9.732e-28   -3.292e-29  -1.235e-26  0.000e+00   0.000e+00   0.000e+00   8.324e-24   3.655e-26   1.389e-24   2.098e-22   -3.495e-123 1.034e-26   3.084e-25   1.020e-25   0.000e+00   -8.324e-24  1.219e-25   7.569e-24   -1.080e-25  2.538e-28   -1.515e-29  -3.655e-26  -1.219e-25  -3.664e-25  
