! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - electron concentration, [cm-3]
! p5 - ion concentration (without PAHs and small grains), [cm-3]
! p6 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            
!time(yrs)     T_n           T_i           T_e           p1            p2            p3            p4            p5            p6            
1.0000000e+00  1.00020e+01   1.00060e+01   1.00060e+01   9.81804e-10   1.26280e-15   7.46817e-33   2.79094e+00   2.79094e+00   -2.85922e-08  
1.0746078e+00  1.00021e+01   1.00063e+01   1.00063e+01   1.05502e-09   1.56299e-15   7.11093e-33   2.79011e+00   2.79011e+00   -2.85922e-08  
1.1547820e+00  1.00023e+01   1.00067e+01   1.00067e+01   1.13371e-09   1.93340e-15   6.77619e-33   2.78921e+00   2.78921e+00   -2.85923e-08  
1.2409378e+00  1.00025e+01   1.00071e+01   1.00071e+01   1.21827e-09   2.39016e-15   6.70373e-33   2.78824e+00   2.78824e+00   -2.85923e-08  
1.3335214e+00  1.00028e+01   1.00075e+01   1.00075e+01   1.30914e-09   2.95295e-15   4.39294e-33   2.78721e+00   2.78721e+00   -2.85924e-08  
1.4330126e+00  1.00030e+01   1.00079e+01   1.00079e+01   1.40679e-09   3.64586e-15   6.51082e-33   2.78609e+00   2.78609e+00   -2.85925e-08  
1.5399265e+00  1.00033e+01   1.00084e+01   1.00084e+01   1.51174e-09   4.49827e-15   6.32552e-33   2.78489e+00   2.78489e+00   -2.85925e-08  
1.6548171e+00  1.00036e+01   1.00089e+01   1.00089e+01   1.62452e-09   5.54594e-15   4.87403e-33   2.78360e+00   2.78360e+00   -2.85926e-08  
1.7782794e+00  1.00039e+01   1.00095e+01   1.00095e+01   1.74571e-09   6.83237e-15   3.19275e-33   2.78221e+00   2.78221e+00   -2.85927e-08  
1.9109530e+00  1.00043e+01   1.00101e+01   1.00101e+01   1.87596e-09   8.41033e-15   5.52858e-33   2.78071e+00   2.78071e+00   -2.85928e-08  
2.0535250e+00  1.00047e+01   1.00107e+01   1.00107e+01   2.01593e-09   1.03437e-14   2.83557e-33   2.77910e+00   2.77910e+00   -2.85929e-08  
2.2067341e+00  1.00052e+01   1.00114e+01   1.00114e+01   2.16635e-09   1.27098e-14   4.12049e-33   2.77737e+00   2.77737e+00   -2.85930e-08  
2.3713737e+00  1.00057e+01   1.00122e+01   1.00122e+01   2.32801e-09   1.56017e-14   3.87740e-33   2.77550e+00   2.77550e+00   -2.85931e-08  
2.5482967e+00  1.00062e+01   1.00130e+01   1.00130e+01   2.50174e-09   1.91312e-14   3.66244e-33   2.77349e+00   2.77349e+00   -2.85932e-08  
2.7384196e+00  1.00068e+01   1.00139e+01   1.00139e+01   2.68844e-09   2.34322e-14   3.46183e-33   2.77133e+00   2.77133e+00   -2.85933e-08  
2.9427272e+00  1.00075e+01   1.00149e+01   1.00149e+01   2.88909e-09   2.86650e-14   3.26099e-33   2.76901e+00   2.76901e+00   -2.85935e-08  
3.1622777e+00  1.00082e+01   1.00159e+01   1.00159e+01   3.10472e-09   3.50193e-14   3.09650e-33   2.76651e+00   2.76651e+00   -2.85936e-08  
3.3982083e+00  1.00090e+01   1.00171e+01   1.00171e+01   3.33647e-09   4.27208e-14   2.93218e-33   2.76381e+00   2.76381e+00   -2.85938e-08  
3.6517413e+00  1.00100e+01   1.00183e+01   1.00183e+01   3.58553e-09   5.20345e-14   2.77730e-33   2.76091e+00   2.76091e+00   -2.85940e-08  
3.9241898e+00  1.00110e+01   1.00197e+01   1.00197e+01   3.85320e-09   6.32713e-14   2.63185e-33   2.75780e+00   2.75780e+00   -2.85942e-08  
4.2169650e+00  1.00121e+01   1.00211e+01   1.00211e+01   4.14088e-09   7.67929e-14   2.49513e-33   2.75444e+00   2.75444e+00   -2.85944e-08  
4.5315836e+00  1.00133e+01   1.00227e+01   1.00227e+01   4.45006e-09   9.30176e-14   2.36645e-33   2.75083e+00   2.75083e+00   -2.85946e-08  
