!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.00000e+00   1.00000e+00   4.30103e+00   1.00009e+00   9.67829e-01   
1.07461e+00   1.00000e+00   4.30103e+00   1.00009e+00   9.67829e-01   
1.15478e+00   1.00000e+00   4.30103e+00   1.00010e+00   9.67829e-01   
1.24094e+00   1.00000e+00   4.30103e+00   1.00011e+00   9.67829e-01   
1.33352e+00   1.00000e+00   4.30103e+00   1.00012e+00   9.67829e-01   
1.43301e+00   1.00000e+00   4.30103e+00   1.00013e+00   9.67829e-01   
1.53993e+00   1.00000e+00   4.30103e+00   1.00014e+00   9.67829e-01   
1.65482e+00   1.00000e+00   4.30103e+00   1.00016e+00   9.67829e-01   
1.77828e+00   1.00000e+00   4.30103e+00   1.00017e+00   9.67829e-01   
1.91095e+00   1.00000e+00   4.30103e+00   1.00019e+00   9.67829e-01   
2.05353e+00   1.00000e+00   4.30103e+00   1.00020e+00   9.67829e-01   
2.20673e+00   1.00000e+00   4.30103e+00   1.00022e+00   9.67829e-01   
2.37137e+00   1.00000e+00   4.30103e+00   1.00025e+00   9.67829e-01   
2.54830e+00   1.00000e+00   4.30103e+00   1.00027e+00   9.67829e-01   
2.73842e+00   1.00000e+00   4.30103e+00   1.00030e+00   9.67829e-01   
2.94273e+00   1.00000e+00   4.30103e+00   1.00032e+00   9.67829e-01   
3.16228e+00   1.00000e+00   4.30103e+00   1.00036e+00   9.67829e-01   
3.39821e+00   1.00000e+00   4.30103e+00   1.00039e+00   9.67829e-01   
3.65174e+00   1.00000e+00   4.30103e+00   1.00043e+00   9.67829e-01   
3.92419e+00   1.00000e+00   4.30103e+00   1.00048e+00   9.67829e-01   
4.21697e+00   1.00000e+00   4.30103e+00   1.00052e+00   9.67829e-01   
4.53158e+00   1.00000e+00   4.30103e+00   1.00058e+00   9.67829e-01   
4.86968e+00   1.00000e+00   4.30103e+00   1.00064e+00   9.67829e-01   
5.23299e+00   1.00000e+00   4.30103e+00   1.00070e+00   9.67829e-01   
5.62341e+00   1.00000e+00   4.30103e+00   1.00077e+00   9.67829e-01   
6.04296e+00   1.00000e+00   4.30103e+00   1.00085e+00   9.67829e-01   
6.49382e+00   1.00000e+00   4.30103e+00   1.00094e+00   9.67829e-01   
6.97831e+00   1.00000e+00   4.30103e+00   1.00103e+00   9.67829e-01   
7.49894e+00   1.00000e+00   4.30103e+00   1.00114e+00   9.67829e-01   
8.05842e+00   1.00000e+00   4.30103e+00   1.00126e+00   9.67829e-01   
8.65964e+00   1.00000e+00   4.30103e+00   1.00139e+00   9.67829e-01   
9.30572e+00   1.00000e+00   4.30103e+00   1.00153e+00   9.67829e-01   
1.00000e+01   1.00000e+00   4.30103e+00   1.00168e+00   9.67829e-01   
1.07461e+01   1.00000e+00   4.30103e+00   1.00185e+00   9.67829e-01   
1.15478e+01   1.00000e+00   4.30103e+00   1.00203e+00   9.67829e-01   
1.24094e+01   1.00000e+00   4.30103e+00   1.00224e+00   9.67829e-01   
1.33352e+01   1.00000e+00   4.30103e+00   1.00246e+00   9.67830e-01   
1.43301e+01   1.00000e+00   4.30103e+00   1.00270e+00   9.67830e-01   
1.53993e+01   1.00000e+00   4.30103e+00   1.00296e+00   9.67830e-01   
1.65482e+01   1.00000e+00   4.30103e+00   1.00325e+00   9.67830e-01   
1.77828e+01   1.00000e+00   4.30103e+00   1.00356e+00   9.67830e-01   
1.91095e+01   1.00000e+00   4.30103e+00   1.00390e+00   9.67830e-01   
2.05353e+01   1.00000e+00   4.30103e+00   1.00427e+00   9.67830e-01   
2.20673e+01   1.00000e+00   4.30103e+00   1.00467e+00   9.67830e-01   
2.37137e+01   1.00000e+00   4.30103e+00   1.00511e+00   9.67830e-01   
2.54830e+01   1.00000e+00   4.30103e+00   1.00558e+00   9.67831e-01   
2.73842e+01   1.00000e+00   4.30103e+00   1.00609e+00   9.67831e-01   
2.94273e+01   1.00000e+00   4.30103e+00   1.00664e+00   9.67831e-01   
3.16228e+01   1.00000e+00   4.30103e+00   1.00723e+00   9.67831e-01   
3.39821e+01   1.00000e+00   4.30103e+00   1.00787e+00   9.67831e-01   
3.65174e+01   1.00000e+00   4.30103e+00   1.00857e+00   9.67832e-01   
3.92419e+01   1.00000e+00   4.30103e+00   1.00931e+00   9.67832e-01   
4.21697e+01   1.00000e+00   4.30103e+00   1.01012e+00   9.67832e-01   
4.53158e+01   1.00000e+00   4.30103e+00   1.01098e+00   9.67832e-01   
4.86968e+01   1.00000e+00   4.30103e+00   1.01191e+00   9.67833e-01   
5.23299e+01   1.00000e+00   4.30103e+00   1.01291e+00   9.67833e-01   
5.62341e+01   1.00000e+00   4.30103e+00   1.01398e+00   9.67834e-01   
