! kin - kinetic energy flux (neutral and ions, dust grains), [erg cm-2 s-1]
! thm - thermal energy flux (neutrals, ions, electrons)
! mgn - magnetic energy flux
! ncool - total integrated gas cooling by line emission (energy transfered via collisions to specimen excitation), cooling < 0., [erg cm-2 s-1]
! na  - integrated neutral gas cooling by atomic emission
! nh2 - neutral gas cooling by H2 emission
! nh2o - neutral gas cooling by H2O emission
! nco - neutral gas cooling by CO emission
! noh - neutral gas cooling by OH emission
! nnh3 - neutral gas cooling by p- and o-NH3 emission
! nch3oh - neutral gas cooling by CH3OH (A-,E-) emission
! kin_n - kinetic energy flux of neutrals
! kin_i - kinetic energy flux of ions (no PAH and small grains)
! kin_d - kinetic energy flux of dust (including PAH and small grains)
! thm_n - thermal energy flux of neutrals
! thm_i - thermal energy flux of ions, electrons, small negative grains (PAH)
! totfl - total flux, [erg cm-2 s-1]
!1           2           3           4           5           6           7           8           9           10          11          12          13          14          15          16          17          18          
!z(cm)       kin         thm         mgn         ncool       na          nh2         nh2o        nco         noh         nnh3        nch3oh      kin_n       kin_i       kin_d       thm_n       thm_i       totfl       
1.51535e+14  3.563e-01   2.447e-04   3.957e-03   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.528e-01   2.380e-07   3.524e-03   2.447e-04   9.686e-11   3.605e-01   
3.47071e+14  3.563e-01   2.447e-04   3.957e-03   5.259e-11   0.000e+00   5.259e-11   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.528e-01   2.380e-07   3.524e-03   2.447e-04   9.686e-11   3.605e-01   
7.88888e+14  3.563e-01   2.447e-04   3.958e-03   2.907e-10   0.000e+00   2.907e-10   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.528e-01   2.379e-07   3.524e-03   2.447e-04   9.689e-11   3.605e-01   
1.68905e+15  3.563e-01   2.447e-04   3.959e-03   7.778e-10   0.000e+00   7.778e-10   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.528e-01   2.378e-07   3.522e-03   2.447e-04   9.696e-11   3.605e-01   
3.55426e+15  3.563e-01   2.447e-04   3.961e-03   1.792e-09   0.000e+00   1.792e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.528e-01   2.374e-07   3.518e-03   2.447e-04   9.733e-11   3.605e-01   
5.74428e+15  3.563e-01   2.447e-04   3.968e-03   2.985e-09   0.000e+00   2.985e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.528e-01   2.366e-07   3.509e-03   2.447e-04   9.903e-11   3.605e-01   
7.86338e+15  3.562e-01   2.448e-04   3.981e-03   4.141e-09   0.000e+00   4.141e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.528e-01   2.352e-07   3.491e-03   2.448e-04   1.058e-10   3.605e-01   
9.80484e+15  3.562e-01   2.452e-04   4.004e-03   5.204e-09   0.000e+00   5.204e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.527e-01   2.339e-07   3.458e-03   2.452e-04   1.292e-10   3.604e-01   
1.07815e+16  3.561e-01   2.457e-04   4.024e-03   5.741e-09   0.000e+00   5.741e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.527e-01   2.338e-07   3.429e-03   2.457e-04   1.600e-10   3.604e-01   
1.12643e+16  3.561e-01   2.461e-04   4.037e-03   6.007e-09   0.000e+00   6.007e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.527e-01   2.342e-07   3.409e-03   2.461e-04   1.856e-10   3.604e-01   
1.15153e+16  3.561e-01   2.463e-04   4.045e-03   6.146e-09   0.000e+00   6.146e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.527e-01   2.344e-07   3.397e-03   2.463e-04   2.033e-10   3.604e-01   
1.17688e+16  3.561e-01   2.467e-04   4.055e-03   6.288e-09   0.000e+00   6.288e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.527e-01   2.348e-07   3.383e-03   2.467e-04   2.250e-10   3.604e-01   
1.20286e+16  3.560e-01   2.472e-04   4.066e-03   6.434e-09   0.000e+00   6.434e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.527e-01   2.353e-07   3.366e-03   2.472e-04   2.521e-10   3.603e-01   
1.21588e+16  3.560e-01   2.474e-04   4.072e-03   6.508e-09   0.000e+00   6.508e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.527e-01   2.356e-07   3.356e-03   2.474e-04   2.680e-10   3.603e-01   
1.22934e+16  3.560e-01   2.478e-04   4.078e-03   6.586e-09   0.000e+00   6.586e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.527e-01   2.358e-07   3.346e-03   2.478e-04   2.859e-10   3.603e-01   
1.24293e+16  3.560e-01   2.481e-04   4.086e-03   6.666e-09   0.000e+00   6.666e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.526e-01   2.361e-07   3.335e-03   2.481e-04   3.061e-10   3.603e-01   
1.25686e+16  3.560e-01   2.486e-04   4.094e-03   6.751e-09   0.000e+00   6.751e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.526e-01   2.364e-07   3.322e-03   2.486e-04   3.288e-10   3.603e-01   
1.27108e+16  3.559e-01   2.491e-04   4.103e-03   6.843e-09   0.000e+00   6.843e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.526e-01   2.366e-07   3.308e-03   2.491e-04   3.542e-10   3.603e-01   
1.28544e+16  3.559e-01   2.497e-04   4.113e-03   6.942e-09   0.000e+00   6.942e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.526e-01   2.368e-07   3.292e-03   2.497e-04   3.833e-10   3.603e-01   
1.29995e+16  3.559e-01   2.504e-04   4.124e-03   7.053e-09   0.000e+00   7.053e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.526e-01   2.369e-07   3.275e-03   2.504e-04   4.162e-10   3.603e-01   
1.31456e+16  3.559e-01   2.513e-04   4.136e-03   7.181e-09   0.000e+00   7.181e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.526e-01   2.369e-07   3.256e-03   2.513e-04   4.524e-10   3.602e-01   
1.32944e+16  3.558e-01   2.524e-04   4.150e-03   7.337e-09   0.000e+00   7.337e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.526e-01   2.368e-07   3.235e-03   2.524e-04   4.952e-10   3.602e-01   
1.34485e+16  3.558e-01   2.537e-04   4.167e-03   7.537e-09   0.000e+00   7.537e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.526e-01   2.365e-07   3.211e-03   2.537e-04   5.477e-10   3.602e-01   
1.36114e+16  3.557e-01   2.554e-04   4.186e-03   7.816e-09   0.000e+00   7.816e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.525e-01   2.359e-07   3.182e-03   2.554e-04   6.117e-10   3.602e-01   
1.37836e+16  3.557e-01   2.577e-04   4.209e-03   8.230e-09   0.000e+00   8.230e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.525e-01   2.350e-07   3.148e-03   2.577e-04   6.914e-10   3.601e-01   
1.39676e+16  3.556e-01   2.608e-04   4.238e-03   8.892e-09   0.000e+00   8.892e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.525e-01   2.338e-07   3.107e-03   2.608e-04   7.969e-10   3.601e-01   
1.41124e+16  3.555e-01   2.640e-04   4.265e-03   9.659e-09   0.000e+00   9.659e-09   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.525e-01   2.325e-07   3.070e-03   2.639e-04   8.998e-10   3.601e-01   
1.42159e+16  3.555e-01   2.667e-04   4.286e-03   1.040e-08   0.000e+00   1.040e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.524e-01   2.313e-07   3.041e-03   2.667e-04   9.873e-10   3.600e-01   
1.43289e+16  3.554e-01   2.702e-04   4.311e-03   1.147e-08   0.000e+00   1.147e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.524e-01   2.299e-07   3.007e-03   2.702e-04   1.096e-09   3.600e-01   
1.44497e+16  3.553e-01   2.748e-04   4.342e-03   1.301e-08   0.000e+00   1.301e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.524e-01   2.281e-07   2.966e-03   2.748e-04   1.235e-09   3.599e-01   
1.45773e+16  3.552e-01   2.807e-04   4.379e-03   1.524e-08   0.000e+00   1.524e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.523e-01   2.259e-07   2.918e-03   2.807e-04   1.409e-09   3.599e-01   
1.47082e+16  3.551e-01   2.885e-04   4.422e-03   1.839e-08   0.000e+00   1.839e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.523e-01   2.232e-07   2.864e-03   2.885e-04   1.631e-09   3.598e-01   
1.48111e+16  3.550e-01   2.960e-04   4.461e-03   2.167e-08   0.000e+00   2.167e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.522e-01   2.209e-07   2.816e-03   2.960e-04   1.853e-09   3.598e-01   
1.49217e+16  3.549e-01   3.061e-04   4.508e-03   2.619e-08   0.000e+00   2.619e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.522e-01   2.185e-07   2.759e-03   3.061e-04   2.098e-09   3.597e-01   
1.50464e+16  3.548e-01   3.204e-04   4.569e-03   3.284e-08   0.000e+00   3.284e-08   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   3.521e-01   2.159e-07   2.687e-03   3.204e-04   2.485e-09   3.597e-01   
