! nh - concentration of H nuclei, [cm-3]
! aic- abundance of molecules adsorbed on grains, mol/H
! ae - abundance of electrons, e/H
! aio- abundance of ions, ions/H
! vgn- velocity gradient of neutral component - averaged based on the fixed dv/v
!   and instantaneous from MHD equations, [cm/s/cm]
! vgi- velocity gradient of ion component, [cm/s/cm]
! p1 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p2 - is equal to add_Ne/Ne, add_Ne is the term added to electron production rate Ne to compensate 
!	the velocity difference between ions and charge grains,
! p3 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            12            13            14            15            16            17            18            
!z(cm)            time(yr)      T_n           T_i           T_e           v_n           v_i           nh            aic           ae            aio           vgn(av)       vgn           vgi(av)       vgi           p1            p2            p3            
1.5153462119e+14  1.92078e+00   2.40375e+01   2.56293e+01   2.55008e+01   2.50000e+06   2.49869e+06   2.00000e+04   3.34169e-04   1.08536e-07   1.11097e-07   -2.31851e-15  -2.37730e-15  -4.17286e-13  -4.27735e-13  2.71924e-17   2.36608e-06   -1.96884e-07  
3.4707083324e+14  4.39930e+00   2.40375e+01   2.56313e+01   2.55028e+01   2.50000e+06   2.49860e+06   2.00000e+04   3.34179e-04   1.08541e-07   1.11102e-07   -2.39496e-15  -2.53453e-15  -4.30870e-13  -4.55671e-13  2.71933e-17   2.82259e-06   -1.96892e-07  
7.8888832987e+14  9.99956e+00   2.40375e+01   2.56369e+01   2.55083e+01   2.50000e+06   2.49838e+06   2.00000e+04   3.34202e-04   1.08553e-07   1.11114e-07   -2.58047e-15  -2.92823e-15  -4.63828e-13  -5.25593e-13  2.71956e-17   4.09462e-06   -1.96911e-07  
1.6890539130e+15  2.14096e+01   2.40376e+01   2.56547e+01   2.55258e+01   2.49999e+06   2.49783e+06   2.00000e+04   3.34261e-04   1.08581e-07   1.11141e-07   -3.02028e-15  -3.92783e-15  -5.41908e-13  -7.02950e-13  2.72017e-17   5.63208e-06   -1.96961e-07  
3.5542561082e+15  4.50521e+01   2.40382e+01   2.57494e+01   2.56188e+01   2.49998e+06   2.49603e+06   2.00001e+04   3.34454e-04   1.08678e-07   1.11237e-07   -4.27498e-15  -7.21808e-15  -7.64201e-13  -1.28480e-12  2.72247e-17   2.24888e-06   -1.97151e-07  
5.7442803560e+15  7.28121e+01   2.40407e+01   2.61719e+01   2.60330e+01   2.49996e+06   2.49194e+06   2.00003e+04   3.34893e-04   1.08991e-07   1.11542e-07   -6.66807e-15  -1.47801e-14  -1.18606e-12  -2.61097e-12  2.72936e-17   7.91069e-07   -1.97723e-07  
7.8633820903e+15  9.96734e+01   2.40505e+01   2.78113e+01   2.76390e+01   2.49992e+06   2.48396e+06   2.00007e+04   3.35753e-04   1.09968e-07   1.12483e-07   -1.06527e-14  -2.99916e-14  -1.88143e-12  -5.23361e-12  2.74965e-17   4.25943e-07   -1.99402e-07  
9.8048404729e+15  1.24284e+02   2.40853e+01   3.34324e+01   3.31414e+01   2.49983e+06   2.46950e+06   2.00014e+04   3.37332e-04   1.12665e-07   1.15074e-07   -1.70820e-14  -6.03681e-14  -4.24469e-12  -1.03115e-11  2.80766e-17   3.74163e-07   -2.04599e-07  
1.0781530101e+16  1.36665e+02   2.41320e+01   4.06520e+01   4.02231e+01   2.49976e+06   2.45729e+06   2.00021e+04   3.38692e-04   1.15464e-07   1.17769e-07   -2.22268e-14  -8.99925e-14  -9.13844e-12  -1.50969e-11  2.86887e-17   4.56896e-07   -2.12869e-07  
1.1264332570e+16  1.42785e+02   2.41719e+01   4.65727e+01   4.60416e+01   2.49971e+06   2.44920e+06   2.00025e+04   3.39607e-04   1.17417e-07   1.19654e-07   -2.55782e-14  -1.11995e-13  -1.02183e-11  -1.85640e-11  2.90865e-17   5.52568e-07   -2.21315e-07  
1.1515340472e+16  1.45967e+02   2.41998e+01   5.06163e+01   5.00056e+01   2.49968e+06   2.44427e+06   2.00027e+04   3.40172e-04   1.18616e-07   1.20813e-07   -2.76151e-14  -1.26441e-13  -1.47516e-11  -2.08054e-11  2.93066e-17   6.16519e-07   -2.27973e-07  
1.1768841356e+16  1.49181e+02   2.42349e+01   5.55870e+01   5.48211e+01   2.49965e+06   2.43866e+06   2.00030e+04   3.40819e-04   1.19972e-07   1.22126e-07   -2.99266e-14  -1.43830e-13  -1.57012e-11  -2.34700e-11  2.95207e-17   6.96191e-07   -2.36730e-07  
1.2028579382e+16  1.52474e+02   2.42801e+01   6.17894e+01   6.06901e+01   2.49961e+06   2.43215e+06   2.00034e+04   3.41580e-04   1.21525e-07   1.23631e-07   -3.26144e-14  -1.65634e-13  -2.01562e-11  -2.67665e-11  2.97102e-17   8.14666e-07   -2.49136e-07  
