! nh - concentration of H nuclei, [cm-3]
! aic- abundance of molecules adsorbed on grains, mol/H
! ae - abundance of electrons, e/H
! aio- abundance of ions, ions/H
! vgn- velocity gradient of neutral component - averaged based on the fixed dv/v
!   and instantaneous from MHD equations, [cm/s/cm]
! vgi- velocity gradient of ion component, [cm/s/cm]
! p1 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p2 - is equal to add_Ne/Ne, add_Ne is the term added to electron production rate Ne to compensate 
!	the velocity difference between ions and charge grains,
! p3 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            12            13            14            15            16            17            18            
!z(cm)            time(yr)      T_n           T_i           T_e           v_n           v_i           nh            aic           ae            aio           vgn(av)       vgn           vgi(av)       vgi           p1            p2            p3            
2.8411269634e+15  1.80064e+02   1.76604e+01   1.93959e+01   1.92502e+01   4.99995e+05   4.99719e+05   2.00002e+04   2.82650e-04   7.62476e-08   8.23575e-08   -1.73771e-15  -1.82630e-15  -1.07942e-14  -1.13334e-14  2.49827e-17   2.69616e-07   -1.85485e-07  
6.9227187388e+15  4.38750e+02   1.76612e+01   1.93967e+01   1.92511e+01   4.99987e+05   4.99670e+05   2.00005e+04   2.82682e-04   7.62694e-08   8.23772e-08   -1.87092e-15  -2.10654e-15  -1.16050e-14  -1.30391e-14  2.49849e-17   3.41704e-07   -1.85506e-07  
1.7818840672e+16  1.12936e+03   1.76636e+01   1.93995e+01   1.92541e+01   4.99959e+05   4.99497e+05   2.00016e+04   2.82782e-04   7.63273e-08   8.24293e-08   -2.29556e-15  -3.08210e-15  -1.41877e-14  -1.89680e-14  2.49921e-17   6.12476e-07   -1.85575e-07  
4.4016872081e+16  2.79008e+03   1.76720e+01   1.94157e+01   1.92706e+01   4.99827e+05   4.98692e+05   2.00069e+04   2.83165e-04   7.64797e-08   8.25661e-08   -3.92314e-15  -7.65107e-15  -2.40463e-14  -4.65476e-14  2.50240e-17   6.08232e-06   -1.85874e-07  
7.6502283841e+16  4.85058e+03   1.77046e+01   1.95353e+01   1.93895e+01   4.99369e+05   4.95938e+05   2.00253e+04   2.84280e-04   7.68553e-08   8.29042e-08   -8.24228e-15  -2.33959e-14  -4.98286e-14  -1.39232e-13  2.51414e-17   3.54140e-06   -1.86932e-07  
1.0837271321e+17  6.87576e+03   1.78953e+01   2.04638e+01   2.03075e+01   4.98008e+05   4.88065e+05   2.00801e+04   2.87318e-04   7.88229e-08   8.47105e-08   -1.83813e-14  -7.07945e-14  -2.47026e-13  -3.97981e-13  2.55944e-17   5.07992e-07   -1.90780e-07  
1.1645629013e+17  7.39047e+03   1.80405e+01   2.11966e+01   2.10314e+01   4.97344e+05   4.84381e+05   2.01070e+04   2.88747e-04   8.02161e-08   8.60055e-08   -2.28081e-14  -9.48036e-14  -2.89254e-13  -5.18962e-13  2.58698e-17   4.20881e-07   -1.92897e-07  
1.2458234407e+17  7.90870e+03   1.82896e+01   2.24432e+01   2.22625e+01   4.96444e+05   4.79542e+05   2.01435e+04   2.90647e-04   8.23603e-08   8.80104e-08   -2.85420e-14  -1.28652e-13  -5.95491e-13  -6.79937e-13  2.62913e-17   3.64917e-07   -1.96082e-07  
1.3283131625e+17  8.43591e+03   1.87319e+01   2.46042e+01   2.43959e+01   4.95190e+05   4.73071e+05   2.01946e+04   2.93236e-04   8.56609e-08   9.11277e-08   -3.62088e-14  -1.78676e-13  -7.84462e-13  -9.00601e-13  2.69512e-17   3.98705e-07   -2.00792e-07  
1.3444504594e+17  8.53920e+03   1.88513e+01   2.51821e+01   2.49657e+01   4.94892e+05   4.71576e+05   2.02067e+04   2.93843e-04   8.64754e-08   9.19020e-08   -4.34463e-14  -1.91130e-13  -8.07733e-13  -9.53489e-13  2.71169e-17   4.10514e-07   -2.01947e-07  
