! p1 - total abundance of grain mantle molecules, [molecules/H]
! p2 - abundance of hydrocarbon molecules in ice mantles, CnHm, n >=2,  [molecules/H]
! p3 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p4 - total electric charge of plasma, [cm-3]
! p5 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             
!time(yrs)    T_n           T_i           T_e           p1            p2            p3            p4            p5            
1.00000e+00   1.00393e+01   1.00530e+01   1.00530e+01   9.81346e-09   2.72114e-13   1.68314e-32   2.85997e-07   -2.85997e-07  
1.07461e+00   1.00434e+01   1.00574e+01   1.00574e+01   1.05420e-08   3.23185e-13   1.65343e-32   2.86003e-07   -2.86003e-07  
1.15478e+00   1.00478e+01   1.00621e+01   1.00621e+01   1.13233e-08   3.83252e-13   1.62480e-32   2.86010e-07   -2.86010e-07  
1.24094e+00   1.00526e+01   1.00673e+01   1.00673e+01   1.21611e-08   4.53729e-13   1.59504e-32   2.86018e-07   -2.86017e-07  
1.33352e+00   1.00579e+01   1.00729e+01   1.00729e+01   1.30592e-08   5.36210e-13   1.56194e-32   2.86026e-07   -2.86026e-07  
1.43301e+00   1.00637e+01   1.00789e+01   1.00789e+01   1.40216e-08   6.32494e-13   1.52352e-32   2.86035e-07   -2.86034e-07  
1.53993e+00   1.00700e+01   1.00856e+01   1.00856e+01   1.50529e-08   7.44600e-13   1.47841e-32   2.86044e-07   -2.86044e-07  
1.65482e+00   1.00769e+01   1.00927e+01   1.00927e+01   1.61579e-08   8.74791e-13   1.42608e-32   2.86055e-07   -2.86054e-07  
1.77828e+00   1.00844e+01   1.01005e+01   1.01005e+01   1.73421e-08   1.02559e-12   1.36701e-32   2.86066e-07   -2.86066e-07  
1.91095e+00   1.00926e+01   1.01089e+01   1.01089e+01   1.86113e-08   1.19983e-12   1.30257e-32   2.86079e-07   -2.86078e-07  
2.05353e+00   1.01015e+01   1.01181e+01   1.01181e+01   1.99721e-08   1.40065e-12   1.23483e-32   2.86092e-07   -2.86091e-07  
2.20673e+00   1.01112e+01   1.01280e+01   1.01280e+01   2.14314e-08   1.63155e-12   1.16614e-32   2.86107e-07   -2.86106e-07  
2.37137e+00   1.01217e+01   1.01388e+01   1.01388e+01   2.29966e-08   1.89643e-12   1.09871e-32   2.86123e-07   -2.86121e-07  
2.54830e+00   1.01332e+01   1.01504e+01   1.01504e+01   2.46756e-08   2.19965e-12   1.03425e-32   2.86140e-07   -2.86138e-07  
2.73842e+00   1.01456e+01   1.01630e+01   1.01630e+01   2.64767e-08   2.54607e-12   9.73742e-33   2.86158e-07   -2.86157e-07  
2.94273e+00   1.01590e+01   1.01766e+01   1.01766e+01   2.84083e-08   2.94115e-12   9.17503e-33   2.86179e-07   -2.86176e-07  
3.16228e+00   1.01735e+01   1.01913e+01   1.01913e+01   3.04796e-08   3.39101e-12   8.65399e-33   2.86201e-07   -2.86198e-07  
3.39821e+00   1.01892e+01   1.02073e+01   1.02073e+01   3.27000e-08   3.90256e-12   8.17107e-33   2.86224e-07   -2.86221e-07  
3.65174e+00   1.02062e+01   1.02244e+01   1.02244e+01   3.50798e-08   4.48363e-12   7.72283e-33   2.86249e-07   -2.86247e-07  
3.92419e+00   1.02246e+01   1.02430e+01   1.02430e+01   3.76296e-08   5.14311e-12   7.30622e-33   2.86276e-07   -2.86274e-07  
