!time         log(Av)       log(n)        log(Tg)       log(Td)       
!(yr)         log(mag)      log(cm-3)     log(K)        log(K)        
1.00000e+00   1.00000e+00   5.30103e+00   1.00171e+00   1.04689e+00   
1.07461e+00   1.00000e+00   5.30103e+00   1.00188e+00   1.04689e+00   
1.15478e+00   1.00000e+00   5.30103e+00   1.00207e+00   1.04689e+00   
1.24094e+00   1.00000e+00   5.30103e+00   1.00228e+00   1.04689e+00   
1.33352e+00   1.00000e+00   5.30103e+00   1.00251e+00   1.04689e+00   
1.43301e+00   1.00000e+00   5.30103e+00   1.00276e+00   1.04689e+00   
1.53993e+00   1.00000e+00   5.30103e+00   1.00303e+00   1.04689e+00   
1.65482e+00   1.00000e+00   5.30103e+00   1.00333e+00   1.04689e+00   
1.77828e+00   1.00000e+00   5.30103e+00   1.00365e+00   1.04689e+00   
1.91095e+00   1.00000e+00   5.30103e+00   1.00400e+00   1.04689e+00   
2.05353e+00   1.00000e+00   5.30103e+00   1.00439e+00   1.04689e+00   
2.20673e+00   1.00000e+00   5.30103e+00   1.00480e+00   1.04689e+00   
2.37137e+00   1.00000e+00   5.30103e+00   1.00526e+00   1.04689e+00   
2.54830e+00   1.00000e+00   5.30103e+00   1.00575e+00   1.04689e+00   
2.73842e+00   1.00000e+00   5.30103e+00   1.00628e+00   1.04689e+00   
2.94273e+00   1.00000e+00   5.30103e+00   1.00685e+00   1.04689e+00   
3.16228e+00   1.00000e+00   5.30103e+00   1.00747e+00   1.04689e+00   
3.39821e+00   1.00000e+00   5.30103e+00   1.00814e+00   1.04689e+00   
3.65174e+00   1.00000e+00   5.30103e+00   1.00887e+00   1.04689e+00   
3.92419e+00   1.00000e+00   5.30103e+00   1.00964e+00   1.04689e+00   
4.21697e+00   1.00000e+00   5.30103e+00   1.01048e+00   1.04690e+00   
4.53158e+00   1.00000e+00   5.30103e+00   1.01139e+00   1.04690e+00   
4.86968e+00   1.00000e+00   5.30103e+00   1.01236e+00   1.04690e+00   
5.23299e+00   1.00000e+00   5.30103e+00   1.01340e+00   1.04690e+00   
5.62341e+00   1.00000e+00   5.30103e+00   1.01452e+00   1.04690e+00   
6.04296e+00   1.00000e+00   5.30103e+00   1.01572e+00   1.04690e+00   
6.49382e+00   1.00000e+00   5.30103e+00   1.01701e+00   1.04690e+00   
6.97831e+00   1.00000e+00   5.30103e+00   1.01838e+00   1.04690e+00   
7.49894e+00   1.00000e+00   5.30103e+00   1.01985e+00   1.04691e+00   
8.05842e+00   1.00000e+00   5.30103e+00   1.02141e+00   1.04691e+00   
8.65964e+00   1.00000e+00   5.30103e+00   1.02309e+00   1.04691e+00   
9.30572e+00   1.00000e+00   5.30103e+00   1.02487e+00   1.04691e+00   
1.00000e+01   1.00000e+00   5.30103e+00   1.02676e+00   1.04691e+00   
1.07461e+01   1.00000e+00   5.30103e+00   1.02878e+00   1.04692e+00   
1.15478e+01   1.00000e+00   5.30103e+00   1.03092e+00   1.04692e+00   
1.24094e+01   1.00000e+00   5.30103e+00   1.03319e+00   1.04692e+00   
1.33352e+01   1.00000e+00   5.30103e+00   1.03559e+00   1.04692e+00   
1.43301e+01   1.00000e+00   5.30103e+00   1.03813e+00   1.04693e+00   
1.53993e+01   1.00000e+00   5.30103e+00   1.04081e+00   1.04693e+00   
1.65482e+01   1.00000e+00   5.30103e+00   1.04363e+00   1.04693e+00   
1.77828e+01   1.00000e+00   5.30103e+00   1.04659e+00   1.04694e+00   
1.91095e+01   1.00000e+00   5.30103e+00   1.04969e+00   1.04694e+00   
2.05353e+01   1.00000e+00   5.30103e+00   1.05293e+00   1.04695e+00   
2.20673e+01   1.00000e+00   5.30103e+00   1.05631e+00   1.04695e+00   
2.37137e+01   1.00000e+00   5.30103e+00   1.05980e+00   1.04695e+00   
2.54830e+01   1.00000e+00   5.30103e+00   1.06340e+00   1.04696e+00   
2.73842e+01   1.00000e+00   5.30103e+00   1.06708e+00   1.04696e+00   
2.94273e+01   1.00000e+00   5.30103e+00   1.07083e+00   1.04697e+00   
3.16228e+01   1.00000e+00   5.30103e+00   1.07460e+00   1.04697e+00   
3.39821e+01   1.00000e+00   5.30103e+00   1.07836e+00   1.04698e+00   
3.65174e+01   1.00000e+00   5.30103e+00   1.08206e+00   1.04698e+00   
3.92419e+01   1.00000e+00   5.30103e+00   1.08566e+00   1.04699e+00   
4.21697e+01   1.00000e+00   5.30103e+00   1.08909e+00   1.04699e+00   
4.53158e+01   1.00000e+00   5.30103e+00   1.09232e+00   1.04700e+00   
4.86968e+01   1.00000e+00   5.30103e+00   1.09528e+00   1.04700e+00   
5.23299e+01   1.00000e+00   5.30103e+00   1.09796e+00   1.04701e+00   
5.62341e+01   1.00000e+00   5.30103e+00   1.10033e+00   1.04701e+00   
6.04296e+01   1.00000e+00   5.30103e+00   1.10240e+00   1.04701e+00   
6.49382e+01   1.00000e+00   5.30103e+00   1.10417e+00   1.04702e+00   
6.97831e+01   1.00000e+00   5.30103e+00   1.10568e+00   1.04702e+00   
7.49894e+01   1.00000e+00   5.30103e+00   1.10696e+00   1.04702e+00   
8.05842e+01   1.00000e+00   5.30103e+00   1.10805e+00   1.04702e+00   
8.65964e+01   1.00000e+00   5.30103e+00   1.10897e+00   1.04702e+00   
9.30572e+01   1.00000e+00   5.30103e+00   1.10977e+00   1.04703e+00   
1.00000e+02   1.00000e+00   5.30103e+00   1.11045e+00   1.04703e+00   
1.07461e+02   1.00000e+00   5.30103e+00   1.11106e+00   1.04703e+00   
1.15478e+02   1.00000e+00   5.30103e+00   1.11159e+00   1.04703e+00   
1.24094e+02   1.00000e+00   5.30103e+00   1.11208e+00   1.04703e+00   
1.33352e+02   1.00000e+00   5.30103e+00   1.11252e+00   1.04703e+00   
1.43301e+02   1.00000e+00   5.30103e+00   1.11293e+00   1.04703e+00   
1.53993e+02   1.00000e+00   5.30103e+00   1.11332e+00   1.04703e+00   
1.65482e+02   1.00000e+00   5.30103e+00   1.11368e+00   1.04703e+00   
1.77828e+02   1.00000e+00   5.30103e+00   1.11404e+00   1.04703e+00   
1.91095e+02   1.00000e+00   5.30103e+00   1.11439e+00   1.04703e+00   
2.05353e+02   1.00000e+00   5.30103e+00   1.11472e+00   1.04703e+00   
2.20673e+02   1.00000e+00   5.30103e+00   1.11506e+00   1.04703e+00   
2.37137e+02   1.00000e+00   5.30103e+00   1.11540e+00   1.04704e+00   
2.54830e+02   1.00000e+00   5.30103e+00   1.11573e+00   1.04704e+00   
2.73842e+02   1.00000e+00   5.30103e+00   1.11607e+00   1.04704e+00   
2.94273e+02   1.00000e+00   5.30103e+00   1.11642e+00   1.04704e+00   
3.16228e+02   1.00000e+00   5.30103e+00   1.11678e+00   1.04704e+00   
3.39821e+02   1.00000e+00   5.30103e+00   1.11715e+00   1.04704e+00   
3.65174e+02   1.00000e+00   5.30103e+00   1.11753e+00   1.04704e+00   
3.92419e+02   1.00000e+00   5.30103e+00   1.11794e+00   1.04704e+00   
4.21697e+02   1.00000e+00   5.30103e+00   1.11836e+00   1.04704e+00   
4.53158e+02   1.00000e+00   5.30103e+00   1.11880e+00   1.04704e+00   
4.86968e+02   1.00000e+00   5.30103e+00   1.11927e+00   1.04704e+00   
5.23299e+02   1.00000e+00   5.30103e+00   1.11976e+00   1.04704e+00   
5.62341e+02   1.00000e+00   5.30103e+00   1.12028e+00   1.04704e+00   
6.04296e+02   1.00000e+00   5.30103e+00   1.12084e+00   1.04704e+00   
6.49382e+02   1.00000e+00   5.30103e+00   1.12143e+00   1.04705e+00   
6.97831e+02   1.00000e+00   5.30103e+00   1.12205e+00   1.04705e+00   
7.49894e+02   1.00000e+00   5.30103e+00   1.12272e+00   1.04705e+00   
8.05842e+02   1.00000e+00   5.30103e+00   1.12343e+00   1.04705e+00   
8.65964e+02   1.00000e+00   5.30103e+00   1.12419e+00   1.04705e+00   
9.30572e+02   1.00000e+00   5.30103e+00   1.12499e+00   1.04705e+00   
1.00000e+03   1.00000e+00   5.30103e+00   1.12584e+00   1.04705e+00   
1.07461e+03   1.00000e+00   5.30103e+00   1.12674e+00   1.04705e+00   
1.15478e+03   1.00000e+00   5.30103e+00   1.12770e+00   1.04706e+00   
1.24094e+03   1.00000e+00   5.30103e+00   1.12871e+00   1.04706e+00   
1.33352e+03   1.00000e+00   5.30103e+00   1.12977e+00   1.04706e+00   
1.43301e+03   1.00000e+00   5.30103e+00   1.13090e+00   1.04706e+00   
1.53993e+03   1.00000e+00   5.30103e+00   1.13209e+00   1.04706e+00   
1.65482e+03   1.00000e+00   5.30103e+00   1.13334e+00   1.04707e+00   
1.77828e+03   1.00000e+00   5.30103e+00   1.13465e+00   1.04707e+00   
1.91095e+03   1.00000e+00   5.30103e+00   1.13602e+00   1.04707e+00   
2.05353e+03   1.00000e+00   5.30103e+00   1.13745e+00   1.04707e+00   
2.20673e+03   1.00000e+00   5.30103e+00   1.13895e+00   1.04708e+00   
2.37137e+03   1.00000e+00   5.30103e+00   1.14050e+00   1.04708e+00   
2.54830e+03   1.00000e+00   5.30103e+00   1.14212e+00   1.04708e+00   
2.73842e+03   1.00000e+00   5.30103e+00   1.14378e+00   1.04708e+00   
2.94273e+03   1.00000e+00   5.30103e+00   1.14550e+00   1.04709e+00   
3.16228e+03   1.00000e+00   5.30103e+00   1.14726e+00   1.04709e+00   
3.39821e+03   1.00000e+00   5.30103e+00   1.14906e+00   1.04709e+00   
3.65174e+03   1.00000e+00   5.30103e+00   1.15089e+00   1.04710e+00   
3.92419e+03   1.00000e+00   5.30103e+00   1.15274e+00   1.04710e+00   
4.21697e+03   1.00000e+00   5.30103e+00   1.15460e+00   1.04710e+00   
4.53158e+03   1.00000e+00   5.30103e+00   1.15645e+00   1.04711e+00   
4.86968e+03   1.00000e+00   5.30103e+00   1.15829e+00   1.04711e+00   
5.23299e+03   1.00000e+00   5.30103e+00   1.16009e+00   1.04711e+00   
5.62341e+03   1.00000e+00   5.30103e+00   1.16183e+00   1.04712e+00   
6.04296e+03   1.00000e+00   5.30103e+00   1.16350e+00   1.04712e+00   
6.49382e+03   1.00000e+00   5.30103e+00   1.16507e+00   1.04712e+00   
6.97831e+03   1.00000e+00   5.30103e+00   1.16652e+00   1.04713e+00   
7.49894e+03   1.00000e+00   5.30103e+00   1.16782e+00   1.04713e+00   
8.05842e+03   1.00000e+00   5.30103e+00   1.16894e+00   1.04713e+00   
8.65964e+03   1.00000e+00   5.30103e+00   1.16985e+00   1.04713e+00   
9.30572e+03   1.00000e+00   5.30103e+00   1.17053e+00   1.04714e+00   
1.00000e+04   1.00000e+00   5.30103e+00   1.17094e+00   1.04714e+00   
1.07461e+04   1.00000e+00   5.30103e+00   1.17106e+00   1.04714e+00   
1.15478e+04   1.00000e+00   5.30103e+00   1.17085e+00   1.04714e+00   
1.24094e+04   1.00000e+00   5.30103e+00   1.17030e+00   1.04713e+00   
1.33352e+04   1.00000e+00   5.30103e+00   1.16936e+00   1.04713e+00   
1.43301e+04   1.00000e+00   5.30103e+00   1.16803e+00   1.04713e+00   
1.53993e+04   1.00000e+00   5.30103e+00   1.16629e+00   1.04713e+00   
1.65482e+04   1.00000e+00   5.30103e+00   1.16414e+00   1.04712e+00   
1.77828e+04   1.00000e+00   5.30103e+00   1.16158e+00   1.04712e+00   
1.91095e+04   1.00000e+00   5.30103e+00   1.15861e+00   1.04711e+00   
2.05353e+04   1.00000e+00   5.30103e+00   1.15523e+00   1.04711e+00   
2.20673e+04   1.00000e+00   5.30103e+00   1.15144e+00   1.04710e+00   
2.37137e+04   1.00000e+00   5.30103e+00   1.14729e+00   1.04709e+00   
2.54830e+04   1.00000e+00   5.30103e+00   1.14281e+00   1.04708e+00   
2.73842e+04   1.00000e+00   5.30103e+00   1.13804e+00   1.04707e+00   
2.94273e+04   1.00000e+00   5.30103e+00   1.13305e+00   1.04706e+00   
3.16228e+04   1.00000e+00   5.30103e+00   1.12788e+00   1.04706e+00   
3.39821e+04   1.00000e+00   5.30103e+00   1.12261e+00   1.04705e+00   
3.65174e+04   1.00000e+00   5.30103e+00   1.11730e+00   1.04704e+00   
3.92419e+04   1.00000e+00   5.30103e+00   1.11200e+00   1.04703e+00   
4.21697e+04   1.00000e+00   5.30103e+00   1.10678e+00   1.04702e+00   
4.53158e+04   1.00000e+00   5.30103e+00   1.10167e+00   1.04701e+00   
4.86968e+04   1.00000e+00   5.30103e+00   1.09670e+00   1.04701e+00   
5.23299e+04   1.00000e+00   5.30103e+00   1.09194e+00   1.04700e+00   
5.62341e+04   1.00000e+00   5.30103e+00   1.08748e+00   1.04699e+00   
