! nh - concentration of H nuclei, [cm-3]
! aic- abundance of molecules adsorbed on grains, mol/H
! ae - abundance of electrons, e/H
! aio- abundance of ions, ions/H
! vgn- velocity gradient of neutral component, [cm/s/cm]
! vgi- velocity gradient of ion component, [cm/s/cm]
! p1 - parameter of H2 formation on grains (reaction *H+*H), rate = a*n_H_tot*n_H, a [cm3 s-1]
! p2 - is equal to add_Ne/Ne, add_Ne is the term added to electron production rate Ne to compensate 
!	the velocity difference between ions and charge grains,
! p3 - total electric charge of grains, [cm-3]
!1             2             3             4             5             6             7             8             9             10            11            12            13            14            15            16            
!z(cm)            time(yr)      T_n           T_i           T_e           v_n           v_i           nh            aic           ae            aio           vgn           vgi           p1            p2            p3            
1.2279260878e+13  1.94557e-01   2.29925e+01   2.54167e+01   2.53063e+01   2.00000e+06   1.99896e+06   2.00000e+05   4.15656e-04   1.39842e-07   1.40835e-07   -2.76615e-14  -3.08468e-12  2.71458e-17   1.92795e-07   -1.97172e-06  
2.5481643855e+13  4.03741e-01   2.29925e+01   2.54165e+01   2.53063e+01   2.00000e+06   1.99892e+06   2.00000e+05   4.15662e-04   1.39929e-07   1.40919e-07   -2.82204e-14  -3.14704e-12  2.71463e-17   2.18792e-07   -1.97186e-06  
5.4223425206e+13  8.59137e-01   2.29927e+01   2.54168e+01   2.53067e+01   2.00000e+06   1.99882e+06   2.00000e+05   4.15677e-04   1.40096e-07   1.41082e-07   -2.95047e-14  -3.29029e-12  2.71475e-17   2.84587e-07   -1.97214e-06  
1.1435702390e+14  1.81192e+00   2.29930e+01   2.54196e+01   2.53099e+01   2.00000e+06   1.99859e+06   2.00000e+05   4.15713e-04   1.40371e-07   1.41355e-07   -3.24464e-14  -3.61828e-12  2.71506e-17   4.78512e-07   -1.97266e-06  
2.4546362329e+14  3.88923e+00   2.29938e+01   2.54384e+01   2.53290e+01   1.99999e+06   1.99790e+06   2.00001e+05   4.15818e-04   1.40764e-07   1.41748e-07   -4.02914e-14  -4.49212e-12  2.71599e-17   1.37992e-06   -1.97372e-06  
5.2544993140e+14  8.32549e+00   2.29968e+01   2.56088e+01   2.54977e+01   1.99996e+06   1.99510e+06   2.00004e+05   4.16247e-04   1.41285e-07   1.42267e-07   -6.67415e-14  -7.42722e-12  2.72068e-17   7.05851e-06   -1.97752e-06  
8.4933524368e+14  1.34574e+01   2.30104e+01   2.68542e+01   2.67283e+01   1.99989e+06   1.98697e+06   2.00012e+05   4.17494e-04   1.42407e-07   1.43379e-07   -1.28150e-13  -1.41629e-11  2.74255e-17   5.02222e-06   -1.99294e-06  
1.1246667088e+15  1.78203e+01   2.30735e+01   3.29790e+01   3.27800e+01   1.99973e+06   1.96983e+06   2.00029e+05   4.20121e-04   1.46053e-07   1.46975e-07   -2.38343e-13  -2.59359e-11  2.82414e-17   3.54768e-06   -2.05588e-06  
1.2310691302e+15  1.95065e+01   2.31477e+01   3.98311e+01   3.95698e+01   1.99962e+06   1.95780e+06   2.00041e+05   4.21943e-04   1.49342e-07   1.50221e-07   -3.78370e-13  -4.06806e-11  2.89805e-17   4.07091e-06   -2.13712e-06  
1.2854518112e+15  2.03683e+01   2.32128e+01   4.55394e+01   4.52504e+01   1.99954e+06   1.94963e+06   2.00050e+05   4.23163e-04   1.51726e-07   1.52575e-07   -5.62022e-13  -5.98199e-11  2.94841e-17   4.69666e-06   -2.21802e-06  
